date,statusList,zscore,ICXUSDT_position,ICXUSDT_price,LINKUSDT_position,LINKUSDT_price,init,total_asset,pnl,return
2020-01-29,2,2.6230695135740505,0.0,0.2112,0.0,2.7773,200000,200000.0,0.0,1.0
2020-01-30,2,2.665281463552337,0.0,0.238,0.0,2.9156,200000,200000.0,0.0,1.0
2020-01-31,2,2.8608254134520403,0.0,0.2589,0.0,2.8259,200000,200000.0,0.0,1.0
2020-02-01,2,2.587574037956487,0.0,0.2751,0.0,2.8378,200000,200000.0,0.0,1.0
2020-02-02,2,2.7849740838730344,0.0,0.3176,0.0,2.8267,200000,200000.0,0.0,1.0
2020-02-03,2,2.8886807236854426,0.0,0.3705,0.0,2.771,200000,200000.0,0.0,1.0
2020-02-04,2,3.260295421479052,0.0,0.5091,0.0,2.7395,200000,200000.0,0.0,1.0
2020-02-05,2,1.9312879844710609,0.0,0.4369,0.0,2.839,200000,200000.0,0.0,1.0
2020-02-06,2,1.7651635149263407,0.0,0.4574,0.0,2.89,200000,200000.0,0.0,1.0
2020-02-07,0,0.8304858318945979,0.0,0.4123,0.0,3.3072,200000,200000.0,0.0,1.0
2020-02-08,0,0.6084421023233164,0.0,0.4056,0.0,3.4171,200000,200000.0,0.0,1.0
2020-02-09,0,0.6995797949590663,0.0,0.438,0.0,3.4945,200000,200000.0,0.0,1.0
2020-02-10,0,0.5032005779093666,0.0,0.4077,0.0,3.3862,200000,200000.0,0.0,1.0
2020-02-11,0,0.014795064004668255,0.0,0.4161,0.0,3.9931,200000,200000.0,0.0,1.0
2020-02-12,0,-0.0016888226720731677,0.0,0.423,0.0,3.9953,200000,200000.0,0.0,1.0
2020-02-13,0,-0.2624217059210884,0.0,0.3843,0.0,3.8765,200000,200000.0,0.0,1.0
2020-02-14,0,-0.5666571434411422,0.0,0.4036,0.0,4.426,200000,200000.0,0.0,1.0
2020-02-15,0,-0.8680004012831083,0.0,0.3595,0.0,4.3241,200000,200000.0,0.0,1.0
2020-02-16,-1,-1.0557255848775937,285714.28571428574,0.35,-22438.63034600368,4.4566,200000,200000.0,0.0,1.0
2020-02-17,-1,-1.0409818505758524,285714.28571428574,0.3455,-22438.63034600368,4.3108,200000,195442.7334098384,-4557.266590161598,0.977213667049192
2020-02-18,-1,-0.9373383161991916,285714.28571428574,0.3826,-22438.63034600368,4.5523,200000,211461.66263839827,11461.662638398266,1.0573083131919914
2020-02-19,-1,-0.9837398324927206,285714.28571428574,0.3633,-22438.63034600368,4.3873,200000,202245.00291702195,2245.0029170219495,1.0112250145851098
2020-02-20,-1,-0.6902227586758585,285714.28571428574,0.3896,-22438.63034600368,4.2644,200000,207001.58096178382,7001.580961783824,1.0350079048089191
2020-02-21,-1,-0.44284782497916947,285714.28571428574,0.4222,-22438.63034600368,4.2778,200000,216616.544322706,16616.544322706002,1.08308272161353
2020-02-22,-1,-0.40649227248148806,285714.28571428574,0.4067,-22438.63034600368,4.1066,200000,208346.47937889874,8346.479378898744,1.0417323968944938
2020-02-23,-1,-0.4768405669415144,285714.28571428574,0.4033,-22438.63034600368,4.2365,200000,210289.82888941604,10289.828889416036,1.0514491444470802
2020-02-24,-1,-0.4888938730681111,285714.28571428574,0.365,-22438.63034600368,3.9148,200000,192128.4643642495,-7871.535635750508,0.9606423218212474
2020-02-25,-1,-0.39619672826591784,285714.28571428574,0.3266,-22438.63034600368,3.4905,200000,171636.32493701158,-28363.67506298842,0.8581816246850579
2020-02-26,-1,-0.8661888887113263,285714.28571428574,0.3027,-22438.63034600368,3.5648,200000,166474.94374314824,-33525.05625685176,0.8323747187157412
2020-02-27,-2,-1.226649601200861,0.0,0.3099,0.0,3.9579,200000,200266.99790359082,266.99790359081817,1.0013349895179542
2020-02-28,-2,-1.4391363978284952,0.0,0.306,0.0,4.1609,200000,200266.99790359082,266.99790359081817,1.0013349895179542
2020-02-29,-2,-1.4984928409994214,0.0,0.2937,0.0,4.0579,200000,200266.99790359082,266.99790359081817,1.0013349895179542
2020-03-01,-2,-1.3244527552168162,0.0,0.2875,0.0,3.859,200000,200266.99790359082,266.99790359081817,1.0013349895179542
2020-03-02,-1,-1.1937087366907444,315778.9307845961,0.3171,-23603.587429412208,4.2423,200000,200266.99790359082,266.99790359081817,1.0013349895179542
2020-03-03,-1,-1.178942352460289,315778.9307845961,0.3399,-23603.587429412208,4.5846,200000,215546.2655025674,15546.265502567403,1.077731327512837
2020-03-04,-2,-1.4543408519025207,0.0,0.3257,0.0,4.6406,200000,206952.6079719782,6952.607971978199,1.034763039859891
2020-03-05,0,0.06829334585619853,0.0,0.3958,0.0,4.7151,200000,206952.6079719782,6952.607971978199,1.034763039859891
2020-03-06,0,-0.19803627908362614,0.0,0.3812,0.0,4.6814,200000,206952.6079719782,6952.607971978199,1.034763039859891
2020-03-07,0,-0.2752729389718253,0.0,0.351,0.0,4.3412,200000,206952.6079719782,6952.607971978199,1.034763039859891
2020-03-08,-1,-1.1998752421941339,356446.10398205,0.2903,-25526.384287438414,4.0537,200000,206952.6079719782,6952.607971978199,1.034763039859891
2020-03-09,-1,-0.3669286118929694,356446.10398205,0.3266,-25526.384287438414,4.1231,200000,221663.13261607484,21663.132616074843,1.1083156630803743
2020-03-10,-1,-0.5497324069626663,356446.10398205,0.3151,-25526.384287438414,4.0839,200000,216563.36815621366,16563.368156213663,1.0828168407810683
2020-03-11,-1,-0.3019342519721893,356446.10398205,0.3014,-25526.384287438414,3.8169,200000,204864.51192691352,4864.5119269135175,1.0243225596345675
2020-03-12,0,0.2301360825794985,0.0,0.1653,0.0,1.9931,200000,198908.70350703885,-1091.296492961148,0.9945435175351942
2020-03-13,0,-0.19596298410283278,0.0,0.1911,0.0,2.4333,200000,198908.70350703885,-1091.296492961148,0.9945435175351942
2020-03-14,0,0.8642652748439753,0.0,0.1819,0.0,2.1379,200000,198908.70350703885,-1091.296492961148,0.9945435175351942
2020-03-15,2,1.7657562395428448,0.0,0.1885,0.0,2.0884,200000,198908.70350703885,-1091.296492961148,0.9945435175351942
2020-03-16,2,2.3794491223356555,0.0,0.1682,0.0,1.7832,200000,198908.70350703885,-1091.296492961148,0.9945435175351942
2020-03-17,2,2.299412229385833,0.0,0.1804,0.0,1.8641,200000,198908.70350703885,-1091.296492961148,0.9945435175351942
2020-03-18,2,1.620297463985302,0.0,0.1822,0.0,1.9483,200000,198908.70350703885,-1091.296492961148,0.9945435175351942
2020-03-19,2,1.394617774921163,0.0,0.2085,0.0,2.2398,200000,198908.70350703885,-1091.296492961148,0.9945435175351942
2020-03-20,0,0.8564165301107547,0.0,0.2021,0.0,2.26,200000,198908.70350703885,-1091.296492961148,0.9945435175351942
2020-03-21,0,0.6308118625443703,0.0,0.201,0.0,2.2787,200000,198908.70350703885,-1091.296492961148,0.9945435175351942
2020-03-22,1,1.0417098085564231,-541395.4913093055,0.1837,49982.084507749234,1.9898,200000,198908.70350703885,-1091.296492961148,0.9945435175351942
2020-03-23,1,0.4997033858468024,-541395.4913093055,0.1991,49982.084507749234,2.2468,200000,220091.58979169372,20091.589791693725,1.1004579489584687
2020-03-24,1,0.6692817879462714,-541395.4913093055,0.2089,49982.084507749234,2.3104,200000,228576.12618121775,28576.126181217754,1.1428806309060888
2020-03-25,1,0.7015403092525083,-541395.4913093055,0.2055,49982.084507749234,2.257,200000,224066.3381980523,24066.33819805231,1.1203316909902616
2020-03-26,1,0.5507413428015039,-541395.4913093055,0.2092,49982.084507749234,2.3132,200000,228878.49466523225,28878.494665232254,1.1443924733261612
2020-03-27,1,0.5652754159107214,-541395.4913093055,0.1945,49982.084507749234,2.1373,200000,212128.1322780724,12128.132278072386,1.0606406613903618
2020-03-28,1,0.2599358593379011,-541395.4913093055,0.1913,49982.084507749234,2.1364,200000,210350.68282982562,10350.682829825615,1.051753414149128
2020-03-29,0,0.10091563878816971,0.0,0.1789,0.0,2.0083,200000,195385.3365853608,-4614.663414639188,0.9769266829268041
2020-03-30,2,1.3707900713884347,0.0,0.2055,0.0,2.135,200000,195385.3365853608,-4614.663414639188,0.9769266829268041
2020-03-31,0,0.752212117536711,0.0,0.2118,0.0,2.2658,200000,195385.3365853608,-4614.663414639188,0.9769266829268041
2020-04-01,2,2.929611263997261,0.0,0.2447,0.0,2.2753,200000,195385.3365853608,-4614.663414639188,0.9769266829268041
2020-04-02,2,2.7202751330379575,0.0,0.2505,0.0,2.2941,200000,195385.3365853608,-4614.663414639188,0.9769266829268041
2020-04-03,2,1.7841745070965922,0.0,0.2419,0.0,2.3013,200000,195385.3365853608,-4614.663414639188,0.9769266829268041
2020-04-04,2,1.33253260221735,0.0,0.2392,0.0,2.3155,200000,195385.3365853608,-4614.663414639188,0.9769266829268041
2020-04-05,1,1.0477449051015209,-422911.9839509974,0.231,43160.00366365381,2.2635,200000,195385.3365853608,-4614.663414639188,0.9769266829268041
2020-04-06,1,0.5127565865751598,-422911.9839509974,0.2519,43160.00366365381,2.5555,200000,216826.91811972356,16826.91811972356,1.0841345905986177
2020-04-07,0,-0.6136340140570882,0.0,0.2479,0.0,2.7303,200000,182385.45940393908,-17614.54059606092,0.9119272970196954
2020-04-08,-2,-1.904996231404057,0.0,0.253,0.0,3.1693,200000,182385.45940393908,-17614.54059606092,0.9119272970196954
2020-04-09,-2,-1.9962478192865964,0.0,0.2538,0.0,3.3099,200000,182385.45940393908,-17614.54059606092,0.9119272970196954
2020-04-10,-2,-2.208780239351185,0.0,0.2288,0.0,3.22,200000,182385.45940393908,-17614.54059606092,0.9119272970196954
2020-04-11,-2,-1.9637829226976395,0.0,0.2299,0.0,3.29,200000,182385.45940393908,-17614.54059606092,0.9119272970196954
2020-04-12,-2,-1.8456347508441975,0.0,0.2323,0.0,3.4189,200000,182385.45940393908,-17614.54059606092,0.9119272970196954
2020-04-13,-2,-1.6412237975901929,0.0,0.2279,0.0,3.3702,200000,182385.45940393908,-17614.54059606092,0.9119272970196954
2020-04-14,-2,-1.3097061968429589,0.0,0.228,0.0,3.252,200000,182385.45940393908,-17614.54059606092,0.9119272970196954
2020-04-15,-1,-1.156255604938245,413572.4703037167,0.2205,-29217.201621802364,3.1212,200000,182385.45940393908,-17614.54059606092,0.9119272970196954
2020-04-16,-2,-1.2366533749484974,0.0,0.2353,0.0,3.4851,200000,186896.72651361793,-13103.273486382066,0.9344836325680896
2020-04-17,-1,-1.140103237773595,402621.1256217534,0.2321,-27068.436479103486,3.4523,200000,186896.72651361793,-13103.273486382066,0.9344836325680896
2020-04-18,-1,-1.1375405700890682,402621.1256217534,0.2474,-27068.436479103486,3.7805,200000,201940.69058807252,1940.6905880725244,1.0097034529403626
2020-04-19,-1,-0.9852167109867971,402621.1256217534,0.2378,-27068.436479103486,3.5902,200000,192924.4043201303,-7075.595679869701,0.9646220216006515
2020-04-20,-1,-0.9744048382380627,402621.1256217534,0.2222,-27068.436479103486,3.4322,200000,182366.70179673258,-17633.29820326742,0.9118335089836629
2020-04-21,-1,-0.8810280534249559,402621.1256217534,0.2245,-27068.436479103486,3.4577,200000,183982.97551587975,-16017.024484120251,0.9199148775793987
2020-04-22,-1,-0.8423726575723817,402621.1256217534,0.2372,-27068.436479103486,3.6786,200000,195075.68142950998,-4924.318570490024,0.9753784071475499
2020-04-23,-1,-0.6332628011513739,402621.1256217534,0.2497,-27068.436479103486,3.7533,200000,202130.45770477093,2130.4577047709317,1.0106522885238547
2020-04-24,-1,-0.25912975049312637,402621.1256217534,0.265,-27068.436479103486,3.7735,200000,208837.34334366166,8837.343343661661,1.0441867167183083
2020-04-25,0,0.030367792327024242,0.0,0.2722,0.0,3.7865,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-04-26,2,1.455782575683811,0.0,0.2989,0.0,3.721,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-04-27,2,1.88895332490036,0.0,0.2907,0.0,3.6383,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-04-28,2,1.5841963520160982,0.0,0.2839,0.0,3.6413,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-04-29,2,1.3646851238685336,0.0,0.299,0.0,3.8879,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-04-30,0,0.9662410922496844,0.0,0.2786,0.0,3.7025,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-01,0,0.957401682140936,0.0,0.2841,0.0,3.7571,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-02,0,0.955086814261183,0.0,0.2906,0.0,3.8182,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-03,0,0.4724368966389807,0.0,0.2738,0.0,3.7092,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-04,0,0.3796215398639165,0.0,0.2756,0.0,3.7499,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-05,0,0.5177712601987076,0.0,0.2742,0.0,3.6833,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-06,0,0.1740554290279372,0.0,0.2613,0.0,3.5872,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-07,0,0.43838489092576394,0.0,0.2801,0.0,3.756,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-08,2,1.236351889236819,0.0,0.3018,0.0,3.801,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-09,0,0.0452636151378176,0.0,0.2954,0.0,4.015,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-10,0,-0.7812124546872395,0.0,0.2632,0.0,3.7582,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-11,0,-0.8817793836967226,0.0,0.2515,0.0,3.5837,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-12,0,-0.7632112784900327,0.0,0.264,0.0,3.6943,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-13,0,-0.7768289719484268,0.0,0.2712,0.0,3.7655,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-14,-2,-1.2710592810506158,0.0,0.2685,0.0,3.8096,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-15,0,-0.36037183089843716,0.0,0.269,0.0,3.6615,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-16,0,-0.6154257930121597,0.0,0.2725,0.0,3.7614,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-17,0,-0.2445302276314823,0.0,0.277,0.0,3.7815,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-18,0,0.01421548144290962,0.0,0.2866,0.0,3.8895,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-19,0,0.657841002935629,0.0,0.2961,0.0,3.947,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-20,2,3.0349944629358947,0.0,0.341,0.0,4.0866,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-21,2,1.8315224268951662,0.0,0.3083,0.0,3.8298,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-22,2,1.5609045589618242,0.0,0.3254,0.0,4.0611,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-23,2,1.6421698961313183,0.0,0.3191,0.0,3.925,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-24,1,1.184894566286633,-296402.7214762645,0.3033,23709.403545573496,3.7917,200000,179797.89084750204,-20202.109152497957,0.8989894542375102
2020-05-25,2,2.1477231158637524,0.0,0.3318,0.0,3.8614,200000,186592.82298244908,-13407.177017550915,0.9329641149122454
2020-05-26,2,2.205233651889607,0.0,0.3408,0.0,3.844,200000,186592.82298244908,-13407.177017550915,0.9329641149122454
2020-05-27,2,1.7803963627098012,0.0,0.3388,0.0,3.8526,200000,186592.82298244908,-13407.177017550915,0.9329641149122454
2020-05-28,2,1.4935769377222856,0.0,0.3527,0.0,4.0461,200000,186592.82298244908,-13407.177017550915,0.9329641149122454
2020-05-29,2,1.4039323068451055,0.0,0.3492,0.0,3.98,200000,186592.82298244908,-13407.177017550915,0.9329641149122454
2020-05-30,1,1.0003819121106552,-260677.31626494703,0.3579,22339.48985734371,4.1763,200000,186592.82298244908,-13407.177017550915,0.9329641149122454
2020-05-31,0,-0.04269524302095504,0.0,0.3272,0.0,4.131,200000,179602.00826365285,-20397.991736347147,0.8980100413182642
2020-06-01,0,-0.2696984802254229,0.0,0.3423,0.0,4.3785,200000,179602.00826365285,-20397.991736347147,0.8980100413182642
2020-06-02,0,-0.5481882817143261,0.0,0.338,0.0,4.3976,200000,179602.00826365285,-20397.991736347147,0.8980100413182642
2020-06-03,0,-0.8726959006567004,0.0,0.339,0.0,4.4892,200000,179602.00826365285,-20397.991736347147,0.8980100413182642
2020-06-04,0,-0.8876951132802133,0.0,0.3347,0.0,4.4243,200000,179602.00826365285,-20397.991736347147,0.8980100413182642
2020-06-05,0,-0.6626396308996017,0.0,0.3368,0.0,4.358,200000,179602.00826365285,-20397.991736347147,0.8980100413182642
2020-06-06,0,-0.7131489777500285,0.0,0.3368,0.0,4.3512,200000,179602.00826365285,-20397.991736347147,0.8980100413182642
2020-06-07,0,-0.8979319658417089,0.0,0.334,0.0,4.3465,200000,179602.00826365285,-20397.991736347147,0.8980100413182642
2020-06-08,-2,-1.3130721000722976,0.0,0.335,0.0,4.473,200000,179602.00826365285,-20397.991736347147,0.8980100413182642
2020-06-09,-1,-1.1348298704602346,269429.9553910184,0.3333,-20248.253468281044,4.435,200000,179602.00826365285,-20397.991736347147,0.8980100413182642
2020-06-10,0,0.2596590707877596,0.0,0.3623,0.0,4.4225,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-11,0,0.10004142918132725,0.0,0.3213,0.0,3.9565,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-12,0,0.029229002731791923,0.0,0.33,0.0,4.0819,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-13,0,0.3285470368226971,0.0,0.3387,0.0,4.11,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-14,0,0.2549258459343049,0.0,0.3221,0.0,3.9371,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-15,0,0.0077750007779448,0.0,0.3151,0.0,3.9274,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-16,0,-0.4322309580849708,0.0,0.316,0.0,4.0502,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-17,0,-0.41815106778923844,0.0,0.324,0.0,4.1659,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-18,0,-0.06314394732714579,0.0,0.3255,0.0,4.1415,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-19,0,-0.1212789473085166,0.0,0.3201,0.0,4.098,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-20,0,-0.7233332140673048,0.0,0.3197,0.0,4.1765,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-21,0,-0.8676610992243563,0.0,0.318,0.0,4.1812,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-22,-2,-1.9296207180819425,0.0,0.3262,0.0,4.4841,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-23,-2,-2.881556784149239,0.0,0.3229,0.0,4.8051,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-24,-2,-2.2937978294960812,0.0,0.3174,0.0,4.7075,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-25,-2,-2.3514490241247126,0.0,0.3107,0.0,4.8134,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-26,-2,-2.0374078505480684,0.0,0.2998,0.0,4.6813,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-27,-2,-1.76597386985277,0.0,0.2818,0.0,4.4058,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-28,-2,-1.6786487552505174,0.0,0.2876,0.0,4.5668,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-29,-2,-1.3368373290567868,0.0,0.297,0.0,4.6187,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-06-30,-2,-1.2958462130388642,0.0,0.2899,0.0,4.5626,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-07-01,-1,-1.174231960114761,286944.52390257583,0.2989,-18222.473961476175,4.7067,200000,171535.43638895982,-28464.563611040183,0.857677181944799
2020-07-02,-1,-0.7125404211690849,286944.52390257583,0.3184,-18222.473961476175,4.7996,200000,178823.7224360812,-21176.27756391879,0.8941186121804061
2020-07-03,0,0.10422901504590075,0.0,0.3391,0.0,4.7309,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-04,0,-0.11051861591717277,0.0,0.3358,0.0,4.82,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-05,0,0.5023641884466099,0.0,0.3461,0.0,4.7439,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-06,0,-0.6547155562149867,0.0,0.3522,0.0,5.3617,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-07,0,-0.036872757508330266,0.0,0.3935,0.0,5.7248,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-08,-2,-1.4012671129394154,0.0,0.3962,0.0,6.4987,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-09,0,-0.7423441688326451,0.0,0.3891,0.0,6.082,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-10,0,-0.351550325284222,0.0,0.402,0.0,6.1488,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-11,0,-0.021762826297508486,0.0,0.4039,0.0,6.0994,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-12,-2,-2.80526066969975,0.0,0.3976,0.0,7.3345,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-13,-2,-1.659166945817979,0.0,0.4138,0.0,7.163,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-14,-2,-2.567867476714727,0.0,0.4093,0.0,8.1321,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-15,-2,-2.526190277865169,0.0,0.401,0.0,8.6494,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-16,-2,-2.1218642797541643,0.0,0.3841,0.0,8.354,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-17,-2,-1.688747047292333,0.0,0.3909,0.0,8.2605,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-18,-2,-1.3667515470509883,0.0,0.388,0.0,7.9734,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-19,0,-0.872596257565243,0.0,0.4223,0.0,8.0784,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-20,0,-0.48741827390266773,0.0,0.3998,0.0,7.2301,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-21,0,-0.32524757545603683,0.0,0.4123,0.0,7.3101,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-22,0,-0.3907930816406393,0.0,0.4131,0.0,7.4689,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-23,0,-0.721248532950949,0.0,0.4083,0.0,7.8983,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-24,0,-0.4904113482138947,0.0,0.3938,0.0,7.4284,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-25,0,-0.5459706885898282,0.0,0.399,0.0,7.672,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-26,0,-0.5439598676737266,0.0,0.3863,0.0,7.5022,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-27,0,-0.38310867789834335,0.0,0.3695,0.0,7.1,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-28,0,-0.251828910080993,0.0,0.3794,0.0,7.2333,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-29,0,-0.03893061497816227,0.0,0.3768,0.0,7.0876,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-30,0,-0.5484310111533056,0.0,0.3715,0.0,7.4093,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-07-31,-1,-1.1544825309340043,214608.41412245051,0.3738,-10280.346161107736,7.8033,200000,160441.250397944,-39558.74960205599,0.8022062519897201
2020-08-01,-2,-1.5708631338406323,0.0,0.3814,0.0,8.3248,200000,164171.42697363108,-35828.57302636892,0.8208571348681554
2020-08-02,-2,-1.6178137266239971,0.0,0.3742,0.0,8.2814,200000,164171.42697363108,-35828.57302636892,0.8208571348681554
2020-08-03,-2,-2.3602604661144237,0.0,0.3754,0.0,9.2502,200000,164171.42697363108,-35828.57302636892,0.8208571348681554
2020-08-04,-2,-2.1089110735312366,0.0,0.3971,0.0,9.8687,200000,164171.42697363108,-35828.57302636892,0.8208571348681554
2020-08-05,-2,-1.764924635198484,0.0,0.3899,0.0,9.5253,200000,164171.42697363108,-35828.57302636892,0.8208571348681554
2020-08-06,-2,-1.9980640598166868,0.0,0.3898,0.0,10.2343,200000,164171.42697363108,-35828.57302636892,0.8208571348681554
