date,statusList,zscore,DASHUSDT_position,DASHUSDT_price,LTCUSDT_position,LTCUSDT_price,init,total_asset,pnl,return
2020-01-24,1,0.6554601067476538,-904.9773755656108,100.11,1737.0158068438423,54.38,200000,185056.20464404143,-14943.795355958573,0.9252810232202071
2020-01-25,1,0.7363030266390885,-904.9773755656108,101.31,1737.0158068438423,53.25,200000,184179.34963298665,-15820.650367013353,0.9208967481649333
2020-01-26,1,0.8387733397609454,-904.9773755656108,111.01,1737.0158068438423,56.24,200000,198151.30743843614,-1848.692561563861,0.9907565371921807
2020-01-27,1,0.6322591786743337,-904.9773755656108,112.78,1737.0158068438423,58.55,200000,203765.62390699657,3765.623906996567,1.0188281195349829
2020-01-28,1,0.5260898246729044,-904.9773755656108,115.91,1737.0158068438423,60.52,200000,210020.12423199927,10020.124231999274,1.0501006211599964
2020-01-29,1,0.8314396326400205,-904.9773755656108,121.97,1737.0158068438423,59.8,200000,214253.6357469993,14253.635746999294,1.0712681787349965
2020-01-30,0,-0.09280573331658372,0.0,121.9,0.0,67.98,200000,192234.40753220356,-7765.592467796436,0.9611720376610178
2020-01-31,0,-0.568000906824818,0.0,115.85,0.0,68.0,200000,192234.40753220356,-7765.592467796436,0.9611720376610178
2020-02-01,-1,-1.008142628395211,823.6264247309492,116.7,-1359.1233564211225,70.72,200000,192234.40753220356,-7765.592467796436,0.9611720376610178
2020-02-02,-2,-1.2796983384603369,0.0,114.29,0.0,69.93,200000,193145.63976423247,-6854.360235767526,0.9657281988211623
2020-02-03,-2,-1.268882042629971,0.0,115.34,0.0,69.65,200000,193145.63976423247,-6854.360235767526,0.9657281988211623
2020-02-04,-2,-1.42112975200389,0.0,110.87,0.0,68.07,200000,193145.63976423247,-6854.360235767526,0.9657281988211623
2020-02-05,0,-0.9736111877125601,0.0,122.98,0.0,72.59,200000,193145.63976423247,-6854.360235767526,0.9657281988211623
2020-02-06,-2,-1.3003922398660455,0.0,120.32,0.0,73.6,200000,193145.63976423247,-6854.360235767526,0.9657281988211623
2020-02-07,-2,-1.4738268660526996,0.0,118.68,0.0,74.3,200000,193145.63976423247,-6854.360235767526,0.9657281988211623
2020-02-08,-1,-1.001543937711233,764.6909484687326,126.29,-1261.400468679679,76.56,200000,193145.63976423247,-6854.360235767526,0.9657281988211623
2020-02-09,-1,-0.7798987755591932,764.6909484687326,128.51,-1261.400468679679,77.0,200000,195398.2698760521,-4601.730123947898,0.9769913493802606
2020-02-10,-1,-0.327801107053815,764.6909484687326,127.58,-1261.400468679679,74.02,200000,190928.13389731076,-9071.866102689237,0.9546406694865538
2020-02-11,-1,-0.5189531235117588,764.6909484687326,129.2,-1261.400468679679,76.46,200000,195244.75037740852,-4755.24962259148,0.9762237518870426
2020-02-12,-1,-0.7651792634826277,764.6909484687326,133.53,-1261.400468679679,81.17,200000,204497.0583917594,4497.058391759405,1.022485291958797
2020-02-13,-1,-0.8047219689643896,764.6909484687326,131.18,-1261.400468679679,80.55,200000,201917.96637227648,1917.9663722764817,1.0095898318613825
2020-02-14,-1,-0.8946883222825733,764.6909484687326,133.34,-1261.400468679679,83.14,200000,206836.72603484933,6836.726034849329,1.0341836301742466
2020-02-15,-1,-1.0470870121331703,764.6909484687326,120.73,-1261.400468679679,76.7,200000,189070.5541563615,-10929.445843638503,0.9453527707818075
2020-02-16,-2,-1.6405450944037812,0.0,110.73,0.0,74.67,200000,202660.1840366014,2660.184036601393,1.013300920183007
2020-02-17,0,-0.9210484397827159,0.0,114.66,0.0,73.41,200000,202660.1840366014,2660.184036601393,1.013300920183007
2020-02-18,-2,-1.9264136688167852,0.0,115.56,0.0,77.25,200000,202660.1840366014,2660.184036601393,1.013300920183007
2020-02-19,-2,-1.9287390333455665,0.0,104.87,0.0,70.61,200000,202660.1840366014,2660.184036601393,1.013300920183007
2020-02-20,-2,-1.4070873206903391,0.0,104.82,0.0,69.4,200000,202660.1840366014,2660.184036601393,1.013300920183007
2020-02-21,-2,-1.7460372508352358,0.0,107.39,0.0,73.25,200000,202660.1840366014,2660.184036601393,1.013300920183007
2020-02-22,-2,-2.2235473115285402,0.0,103.79,0.0,74.79,200000,202660.1840366014,2660.184036601393,1.013300920183007
2020-02-23,-2,-2.0966014789227576,0.0,108.09,0.0,79.52,200000,202660.1840366014,2660.184036601393,1.013300920183007
2020-02-24,-2,-1.7337077543782904,0.0,103.41,0.0,75.59,200000,202660.1840366014,2660.184036601393,1.013300920183007
2020-02-25,-2,-1.6975439150215181,0.0,95.52,0.0,70.98,200000,202660.1840366014,2660.184036601393,1.013300920183007
2020-02-26,-1,-1.1668244238480072,1202.1603039304862,84.29,-1674.0474478490119,60.53,200000,202660.1840366014,2660.184036601393,1.013300920183007
2020-02-27,-1,-0.5826904129464306,1202.1603039304862,89.88,-1674.0474478490119,61.77,200000,211456.07897090557,11456.078970905568,1.0572803948545277
2020-02-28,-1,-0.38611266176075487,1202.1603039304862,88.09,-1674.0474478490119,59.89,200000,206157.00282491383,6157.002824913827,1.0307850141245691
2020-02-29,-1,-0.32060761237311036,1202.1603039304862,85.35,-1674.0474478490119,58.05,200000,199782.83628810215,-217.16371189785423,0.9989141814405107
2020-03-01,-1,-0.27326747376451765,1202.1603039304862,84.59,-1674.0474478490119,57.7,200000,198283.27785036783,-1716.7221496321727,0.9914163892518392
2020-03-02,0,-0.14244244238400436,0.0,90.26,0.0,61.42,200000,196973.189250722,-3026.8107492779964,0.98486594625361
2020-03-03,0,-0.2646392907359137,0.0,88.56,0.0,61.01,200000,196973.189250722,-3026.8107492779964,0.98486594625361
2020-03-04,0,-0.3449288839671066,0.0,86.88,0.0,60.38,200000,196973.189250722,-3026.8107492779964,0.98486594625361
2020-03-05,0,-0.11326734086500789,0.0,89.87,0.0,62.06,200000,196973.189250722,-3026.8107492779964,0.98486594625361
2020-03-06,0,0.646093618250971,0.0,93.94,0.0,63.22,200000,196973.189250722,-3026.8107492779964,0.98486594625361
2020-03-07,0,0.15067736961523956,0.0,88.12,0.0,60.46,200000,196973.189250722,-3026.8107492779964,0.98486594625361
2020-03-08,0,0.03404012077578093,0.0,73.7,0.0,51.0,200000,196973.189250722,-3026.8107492779964,0.98486594625361
2020-03-09,0,0.43246031902549253,0.0,73.65,0.0,50.39,200000,196973.189250722,-3026.8107492779964,0.98486594625361
2020-03-10,0,0.9291462198512679,0.0,74.6,0.0,50.26,200000,196973.189250722,-3026.8107492779964,0.98486594625361
2020-03-11,1,1.0815217530183938,-1363.3249532857283,72.24,2029.3961389936328,48.53,200000,196973.189250722,-3026.8107492779964,0.98486594625361
2020-03-12,1,1.0313252854215496,-1363.3249532857283,44.4,2029.3961389936328,29.83,200000,121068.5147520664,-78931.4852479336,0.605342573760332
2020-03-13,0,-1.635978370014151,0.0,51.16,0.0,37.52,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-03-14,-2,-2.0871870638825976,0.0,45.97,0.0,34.4,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-03-15,-2,-2.406348461943516,0.0,47.31,0.0,36.38,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-03-16,-2,-2.2082257252333584,0.0,43.12,0.0,33.2,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-03-17,-2,-1.4548266405258,0.0,45.57,0.0,34.07,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-03-18,2,3.378563534834915,0.0,62.64,0.0,34.71,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-03-19,2,1.902065832637158,0.0,65.47,0.0,38.9,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-03-20,2,2.674206300774818,0.0,71.78,0.0,38.08,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-03-21,2,2.0866125887350817,0.0,71.37,0.0,38.32,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-03-22,2,1.3604687165333702,0.0,62.44,0.0,35.4,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-03-23,2,1.4736338288523205,0.0,70.87,0.0,38.94,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-03-24,0,0.8468194562493196,0.0,69.53,0.0,40.57,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-03-25,0,0.8408531655183272,0.0,67.72,0.0,39.17,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-03-26,0,0.5850414990617477,0.0,68.23,0.0,40.41,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-03-27,0,0.9297978828613254,0.0,67.59,0.0,38.04,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-03-28,0,0.3918319724331322,0.0,65.21,0.0,38.87,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-03-29,0,0.11298690713735167,0.0,60.46,0.0,37.11,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-03-30,0,0.37399821781605286,0.0,65.81,0.0,38.91,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-03-31,0,0.18724289470662414,0.0,64.97,0.0,39.08,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-04-01,0,0.24568893419351606,0.0,66.03,0.0,39.23,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-04-02,0,0.22728630160932448,0.0,67.51,0.0,39.86,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-04-03,0,-0.014920013019520858,0.0,67.4,0.0,40.46,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-04-04,0,-0.039949274539984286,0.0,68.46,0.0,40.71,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-04-05,0,-0.4109291943737967,0.0,66.89,0.0,40.31,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-04-06,-2,-1.2716533946928519,0.0,73.19,0.0,45.04,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-04-07,-2,-1.2881266768704092,0.0,72.22,0.0,44.77,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-04-08,-1,-1.09186477211265,1261.7713898687682,75.52,-2047.0241753574517,46.55,200000,190577.95072577873,-9422.049274221266,0.9528897536288936
2020-04-09,0,1.3059484579316647,0.0,82.83,0.0,46.21,200000,180658.4136462165,-19341.586353783496,0.9032920682310825
2020-04-10,0,0.9584557797773178,0.0,74.1,0.0,42.25,200000,180658.4136462165,-19341.586353783496,0.9032920682310825
2020-04-11,1,1.1049779218293687,-1204.871372857253,74.97,2123.3946126729725,42.54,200000,180658.4136462165,-19341.586353783496,0.9032920682310825
2020-04-12,2,1.294579444185867,0.0,74.1,0.0,42.0,200000,180756.80864267412,-19243.19135732588,0.9037840432133706
2020-04-13,2,1.3520572372643198,0.0,73.13,0.0,41.22,200000,180756.80864267412,-19243.19135732588,0.9037840432133706
2020-04-14,0,0.9662461823698343,0.0,72.32,0.0,41.22,200000,180756.80864267412,-19243.19135732588,0.9037840432133706
2020-04-15,2,1.579506711241405,0.0,70.7,0.0,39.22,200000,180756.80864267412,-19243.19135732588,0.9037840432133706
2020-04-16,2,1.3345526409176762,0.0,76.09,0.0,42.53,200000,180756.80864267412,-19243.19135732588,0.9037840432133706
2020-04-17,2,1.4560637046298788,0.0,76.31,0.0,42.19,200000,180756.80864267412,-19243.19135732588,0.9037840432133706
2020-04-18,2,1.4057916551487033,0.0,80.16,0.0,44.14,200000,180756.80864267412,-19243.19135732588,0.9037840432133706
2020-04-19,2,2.1558989997887807,0.0,80.23,0.0,42.23,200000,180756.80864267412,-19243.19135732588,0.9037840432133706
2020-04-20,2,1.3290854393734992,0.0,74.29,0.0,40.21,200000,180756.80864267412,-19243.19135732588,0.9037840432133706
2020-04-21,1,1.059192579107184,-1213.4587046366414,74.48,2226.6174999097575,40.59,200000,180756.80864267412,-19243.19135732588,0.9037840432133706
2020-04-22,2,1.907967761623459,0.0,80.8,0.0,41.8,200000,185731.66048108687,-14268.339518913126,0.9286583024054343
2020-04-23,2,1.2934348608850699,0.0,81.26,0.0,42.98,200000,185731.66048108687,-14268.339518913126,0.9286583024054343
2020-04-24,0,0.538191236708923,0.0,81.37,0.0,44.53,200000,185731.66048108687,-14268.339518913126,0.9286583024054343
2020-04-25,2,1.524114101986827,0.0,85.78,0.0,44.38,200000,185731.66048108687,-14268.339518913126,0.9286583024054343
2020-04-26,0,0.9798633569198699,0.0,84.12,0.0,44.52,200000,185731.66048108687,-14268.339518913126,0.9286583024054343
2020-04-27,0,0.5895680089152656,0.0,82.75,0.0,44.46,200000,185731.66048108687,-14268.339518913126,0.9286583024054343
2020-04-28,0,-0.4748303838709247,0.0,82.21,0.0,45.69,200000,185731.66048108687,-14268.339518913126,0.9286583024054343
2020-04-29,-2,-1.2643753584862758,0.0,85.36,0.0,48.81,200000,185731.66048108687,-14268.339518913126,0.9286583024054343
2020-04-30,-2,-1.340528684577793,0.0,80.74,0.0,46.33,200000,185731.66048108687,-14268.339518913126,0.9286583024054343
2020-05-01,-1,-1.0178197149608827,1119.5398461789443,82.95,-1972.9303216601538,47.07,200000,185731.66048108687,-14268.339518913126,0.9286583024054343
2020-05-02,-2,-1.9340509453576278,0.0,83.26,0.0,49.2,200000,189586.94471390755,-10413.05528609245,0.9479347235695378
2020-05-03,-2,-1.788594239709405,0.0,81.07,0.0,48.05,200000,189586.94471390755,-10413.05528609245,0.9479347235695378
2020-05-04,-2,-1.5699941859896342,0.0,79.54,0.0,46.96,200000,189586.94471390755,-10413.05528609245,0.9479347235695378
2020-05-05,-2,-1.2895882308135502,0.0,79.37,0.0,46.54,200000,189586.94471390755,-10413.05528609245,0.9479347235695378
2020-05-06,-1,-1.0779623393625029,1229.3278739068055,77.11,-2109.334053336755,44.94,200000,189586.94471390755,-10413.05528609245,0.9479347235695378
2020-05-07,-2,-1.5269008089946485,0.0,78.76,0.0,47.37,200000,192684.23547156958,-7315.764528430416,0.9634211773578479
2020-05-08,0,-0.855890649551284,0.0,81.8,0.0,47.69,200000,192684.23547156958,-7315.764528430416,0.9634211773578479
2020-05-09,0,-0.9789019278137187,0.0,79.59,0.0,46.95,200000,192684.23547156958,-7315.764528430416,0.9634211773578479
2020-05-10,0,-0.6903674648782854,0.0,72.1,0.0,42.06,200000,192684.23547156958,-7315.764528430416,0.9634211773578479
2020-05-11,0,-0.9775377528650268,0.0,69.73,0.0,41.51,200000,192684.23547156958,-7315.764528430416,0.9634211773578479
2020-05-12,0,-0.2434822230150119,0.0,73.31,0.0,42.18,200000,192684.23547156958,-7315.764528430416,0.9634211773578479
2020-05-13,0,-0.5229866835399242,0.0,73.81,0.0,43.18,200000,192684.23547156958,-7315.764528430416,0.9634211773578479
2020-05-14,0,-0.6346000899520055,0.0,74.56,0.0,43.98,200000,192684.23547156958,-7315.764528430416,0.9634211773578479
2020-05-15,0,-0.597990758527887,0.0,72.44,0.0,42.74,200000,192684.23547156958,-7315.764528430416,0.9634211773578479
2020-05-16,0,-0.3639389663014253,0.0,73.71,0.0,43.25,200000,192684.23547156958,-7315.764528430416,0.9634211773578479
2020-05-17,0,0.09136476232950373,0.0,75.03,0.0,43.71,200000,192684.23547156958,-7315.764528430416,0.9634211773578479
2020-05-18,-1,-1.054309510183241,1264.3322537504566,76.2,-2125.819014470097,45.32,200000,192684.23547156958,-7315.764528430416,0.9634211773578479
2020-05-19,-1,-0.7503724124835385,1264.3322537504566,77.15,-2125.819014470097,45.73,200000,194756.9369085653,-5243.063091434713,0.9737846845428264
2020-05-20,0,2.4382837519221674,0.0,78.35,0.0,44.25,200000,187691.2947805231,-12308.705219476891,0.9384564739026156
2020-05-21,0,0.30550074591114984,0.0,73.09,0.0,42.73,200000,187691.2947805231,-12308.705219476891,0.9384564739026156
2020-05-22,0,-0.5604209533219466,0.0,74.77,0.0,44.23,200000,187691.2947805231,-12308.705219476891,0.9384564739026156
2020-05-23,0,-0.8061656890303225,0.0,73.87,0.0,43.85,200000,187691.2947805231,-12308.705219476891,0.9384564739026156
2020-05-24,0,-0.023883804670525553,0.0,71.67,0.0,42.08,200000,187691.2947805231,-12308.705219476891,0.9384564739026156
2020-05-25,0,0.37700109193817566,0.0,73.6,0.0,42.97,200000,187691.2947805231,-12308.705219476891,0.9384564739026156
2020-05-26,0,0.5852364175202058,0.0,72.61,0.0,42.27,200000,187691.2947805231,-12308.705219476891,0.9384564739026156
2020-05-27,-2,-1.2105740979756041,0.0,73.6,0.0,43.85,200000,187691.2947805231,-12308.705219476891,0.9384564739026156
2020-05-28,-1,-1.1686264404385485,1250.2750784740415,75.06,-2096.172601971444,44.77,200000,187691.2947805231,-12308.705219476891,0.9384564739026156
2020-05-29,-2,-1.420066746572756,0.0,74.16,0.0,44.47,200000,188187.6905705583,-11812.309429441695,0.9409384528527915
2020-05-30,-2,-1.6651516882911332,0.0,79.01,0.0,47.72,200000,188187.6905705583,-11812.309429441695,0.9409384528527915
2020-05-31,0,-0.9528086706906365,0.0,76.33,0.0,45.61,200000,188187.6905705583,-11812.309429441695,0.9409384528527915
2020-06-01,-2,-1.3660576702657348,0.0,80.06,0.0,48.25,200000,188187.6905705583,-11812.309429441695,0.9409384528527915
2020-06-02,0,0.29512310748168713,0.0,78.26,0.0,45.99,200000,188187.6905705583,-11812.309429441695,0.9409384528527915
2020-06-03,-2,-1.2697832886246343,0.0,78.2,0.0,47.16,200000,188187.6905705583,-11812.309429441695,0.9409384528527915
2020-06-04,-1,-1.1879629316520606,1197.12271355317,78.6,-1983.846622080522,47.43,200000,188187.6905705583,-11812.309429441695,0.9409384528527915
2020-06-05,-1,-0.9382288872561535,1197.12271355317,77.81,-1983.846622080522,46.83,200000,186051.65565360297,-13948.344346397032,0.9302582782680149
2020-06-06,-1,-0.45457824522663315,1197.12271355317,78.3,-1983.846622080522,46.79,200000,186558.89191836084,-13441.108081639162,0.9327944595918042
2020-06-07,-1,-0.4687382432711129,1197.12271355317,77.99,-1983.846622080522,46.63,200000,185870.36841762648,-14129.63158237352,0.9293518420881324
2020-06-08,-1,-0.3577193677146886,1197.12271355317,77.77,-1983.846622080522,46.43,200000,185210.23209622863,-14789.767903771368,0.9260511604811432
2020-06-09,0,0.3527857913586426,0.0,77.42,0.0,45.87,200000,186505.49464210542,-13494.50535789458,0.9325274732105271
2020-06-10,0,-0.10825344360418904,0.0,78.21,0.0,46.63,200000,186505.49464210542,-13494.50535789458,0.9325274732105271
2020-06-11,0,-0.3750165929160325,0.0,72.24,0.0,43.22,200000,186505.49464210542,-13494.50535789458,0.9325274732105271
2020-06-12,-2,-1.8597481700487568,0.0,73.27,0.0,44.72,200000,186505.49464210542,-13494.50535789458,0.9325274732105271
2020-06-13,-2,-1.3634441501717538,0.0,74.18,0.0,45.08,200000,186505.49464210542,-13494.50535789458,0.9325274732105271
2020-06-14,-2,-1.2080353743831962,0.0,72.56,0.0,44.05,200000,186505.49464210542,-13494.50535789458,0.9325274732105271
2020-06-15,-2,-1.5476800160988633,0.0,71.77,0.0,43.73,200000,186505.49464210542,-13494.50535789458,0.9325274732105271
2020-06-16,0,-0.605191698619885,0.0,72.63,0.0,43.88,200000,186505.49464210542,-13494.50535789458,0.9325274732105271
2020-06-17,-2,-1.2155395850140502,0.0,72.42,0.0,44.07,200000,186505.49464210542,-13494.50535789458,0.9325274732105271
2020-06-18,0,-0.9921522437456367,0.0,71.46,0.0,43.43,200000,186505.49464210542,-13494.50535789458,0.9325274732105271
2020-06-19,-2,-1.4896627714000508,0.0,70.1,0.0,42.89,200000,186505.49464210542,-13494.50535789458,0.9325274732105271
2020-06-20,-2,-1.53730969622851,0.0,71.01,0.0,43.57,200000,186505.49464210542,-13494.50535789458,0.9325274732105271
2020-06-21,-2,-1.321178926956765,0.0,70.14,0.0,43.0,200000,186505.49464210542,-13494.50535789458,0.9325274732105271
2020-06-22,-2,-1.204140275970974,0.0,72.33,0.0,44.3,200000,186505.49464210542,-13494.50535789458,0.9325274732105271
2020-06-23,1,1.11958438329592,1260.0019905560425,74.01,-2110.7457519477753,44.18,200000,186505.49464210542,-13494.50535789458,0.9325274732105271
2020-06-24,2,1.9955543348293598,0.0,72.42,0.0,42.65,200000,187731.53247760143,-12268.467522398569,0.9386576623880072
2020-06-25,1,1.0086965018777994,-1320.0079628575547,71.11,2216.4289548713273,42.35,200000,187731.53247760143,-12268.467522398569,0.9386576623880072
2020-06-26,0,-0.7429875603696506,0.0,70.68,0.0,43.09,200000,185523.7716269679,-14476.228373032092,0.9276188581348396
2020-06-27,-1,-1.1151831093102524,1386.1608758739383,66.92,-2259.17890437126,41.06,200000,185523.7716269679,-14476.228373032092,0.9276188581348396
2020-06-28,-1,-0.7275504843801335,1386.1608758739383,67.7,-2259.17890437126,41.37,200000,187305.32257050465,-12694.67742949535,0.9365266128525233
2020-06-29,0,-0.18454569681919902,0.0,68.93,0.0,41.87,200000,184567.523179002,-15432.47682099801,0.92283761589501
2020-06-30,0,0.300846616244441,0.0,68.11,0.0,41.17,200000,184567.523179002,-15432.47682099801,0.92283761589501
2020-07-01,0,-0.6424588266006523,0.0,68.31,0.0,41.77,200000,184567.523179002,-15432.47682099801,0.92283761589501
2020-07-02,-2,-1.24341199037808,0.0,66.62,0.0,41.05,200000,184567.523179002,-15432.47682099801,0.92283761589501
2020-07-03,-2,-1.4647689820027592,0.0,66.46,0.0,41.14,200000,184567.523179002,-15432.47682099801,0.92283761589501
2020-07-04,-2,-1.6845119053245388,0.0,67.63,0.0,42.11,200000,184567.523179002,-15432.47682099801,0.92283761589501
2020-07-05,-1,-1.0817318129705953,1372.4533252454046,67.24,-2219.426685654185,41.58,200000,184567.523179002,-15432.47682099801,0.92283761589501
2020-07-06,-2,-1.7860434411012418,0.0,70.26,0.0,44.06,200000,185926.89231718326,-14073.107682816742,0.9296344615859162
2020-07-07,-1,-1.0072354454970749,1329.5687379661274,69.92,-2142.5085540122523,43.39,200000,185926.89231718326,-14073.107682816742,0.9296344615859162
2020-07-08,-2,-1.206766396894002,0.0,72.7,0.0,45.35,200000,186430.00799150142,-13569.992008498579,0.9321500399575071
2020-07-09,0,-0.49276292997288496,0.0,71.86,0.0,44.33,200000,186430.00799150142,-13569.992008498579,0.9321500399575071
2020-07-10,0,-0.5224383474047906,0.0,71.75,0.0,44.3,200000,186430.00799150142,-13569.992008498579,0.9321500399575071
2020-07-11,0,-0.2613546675953345,0.0,72.68,0.0,44.69,200000,186430.00799150142,-13569.992008498579,0.9321500399575071
2020-07-12,0,-0.7537424920219552,0.0,72.05,0.0,44.7,200000,186430.00799150142,-13569.992008498579,0.9321500399575071
2020-07-13,0,0.21752288759926555,0.0,71.84,0.0,43.92,200000,186430.00799150142,-13569.992008498579,0.9321500399575071
2020-07-14,0,0.4902581609741093,0.0,71.82,0.0,43.88,200000,186430.00799150142,-13569.992008498579,0.9321500399575071
2020-07-15,1,1.0266448575123799,-1310.6721596702855,71.12,2151.280959975784,43.33,200000,186430.00799150142,-13569.992008498579,0.9321500399575071
2020-07-16,2,1.2774744702660306,0.0,69.28,0.0,42.09,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
2020-07-17,2,1.8826986432698316,0.0,69.58,0.0,41.9,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
2020-07-18,0,0.18940801354626896,0.0,69.2,0.0,42.45,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
2020-07-19,2,1.2780101426412913,0.0,70.35,0.0,42.64,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
2020-07-20,0,0.9073583226507268,0.0,68.86,0.0,41.94,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
2020-07-21,0,-0.09590031038498878,0.0,71.09,0.0,43.77,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
2020-07-22,0,0.3444188491402738,0.0,73.38,0.0,44.96,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
2020-07-23,0,0.30136366107932894,0.0,73.35,0.0,44.94,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
2020-07-24,0,0.16016153788667237,0.0,71.94,0.0,44.11,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
2020-07-25,-2,-3.5714761705871294,0.0,74.65,0.0,49.16,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
2020-07-26,-2,-1.7913993124107532,0.0,75.3,0.0,48.1,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
2020-07-27,-2,-3.2507000817906215,0.0,77.55,0.0,53.28,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
2020-07-28,-2,-2.7319631210527624,0.0,79.82,0.0,55.75,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
2020-07-29,-2,-1.7613565386499328,0.0,81.38,0.0,55.16,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
2020-07-30,-2,-2.0100668404189936,0.0,81.15,0.0,56.75,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
2020-07-31,-2,-1.8373900459741426,0.0,82.45,0.0,58.13,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
2020-08-01,0,-0.7129326305507572,0.0,93.13,0.0,61.65,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
2020-08-02,0,-0.7302363227074623,0.0,85.29,0.0,56.77,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
2020-08-03,0,-0.6828454434457597,0.0,87.72,0.0,58.48,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
2020-08-04,0,-0.5235118032370663,0.0,86.88,0.0,57.61,200000,186685.95960807806,-13314.040391921939,0.9334297980403903
