date,statusList,zscore,TFUELUSDT_position,TFUELUSDT_price,ETCUSDT_position,ETCUSDT_price,init,total_asset,pnl,return
2020-01-22,-2,-1.3788859475213364,0.0,0.002515,0.0,9.3457,200000,200000.0,0.0,1.0
2020-01-23,-1,-1.0033580384220533,40128410.91492777,0.002492,-11845.393918574762,8.4421,200000,200000.0,0.0,1.0
2020-01-24,-1,-1.0205273269080644,40128410.91492777,0.002449,-11845.393918574762,8.6118,200000,200284.64167864027,284.6416786402697,1.0014232083932013
2020-01-25,-1,-0.8019104344995078,40128410.91492777,0.002489,-11845.393918574762,8.3966,200000,199340.64934396005,-659.3506560399546,0.9967032467198003
2020-01-26,-1,-0.9869515598181083,40128410.91492777,0.0025,-11845.393918574762,9.19,200000,209180.19739902148,9180.197399021476,1.0459009869951075
2020-01-27,-1,-1.1813425108015252,40128410.91492777,0.002574,-11845.393918574762,10.4161,200000,226673.33729029068,26673.337290290685,1.1333666864514533
2020-01-28,-2,-1.3340263112707607,0.0,0.0026,0.0,11.3697,200000,230344.7068572073,30344.70685720729,1.1517235342860364
2020-01-29,-2,-1.5392855210537741,0.0,0.002481,0.0,12.2231,200000,230344.7068572073,30344.70685720729,1.1517235342860364
2020-01-30,-2,-1.4215154509229122,0.0,0.002498,0.0,12.2842,200000,230344.7068572073,30344.70685720729,1.1517235342860364
2020-01-31,-1,-1.1198685733038154,46403043.28307963,0.002482,-10158.083738631474,11.338,200000,230344.7068572073,30344.70685720729,1.1517235342860364
2020-02-01,-1,-1.1142332863141138,46403043.28307963,0.002496,-10158.083738631474,11.5282,200000,232926.41699025812,32926.41699025812,1.1646320849512906
2020-02-02,-1,-1.0660749255937387,46403043.28307963,0.002528,-10158.083738631474,11.3658,200000,232761.6415761629,32761.64157616289,1.1638082078808145
2020-02-03,-1,-1.1725225644628783,46403043.28307963,0.002553,-10158.083738631474,11.7782,200000,238110.91139205155,38110.91139205155,1.1905545569602578
2020-02-04,-1,-0.4724657687112852,46403043.28307963,0.002754,-10158.083738631474,11.4111,200000,243708.89055149892,43708.89055149892,1.2185444527574947
2020-02-05,-1,-0.6040485255093606,46403043.28307963,0.002882,-10158.083738631474,12.3345,200000,259028.4546159854,59028.45461598539,1.295142273079927
2020-02-06,0,-0.12194995759093825,0.0,0.003024,0.0,12.1132,200000,213068.80391196522,13068.803911965224,1.065344019559826
2020-02-07,0,0.6537272264611551,0.0,0.0032,0.0,11.6967,200000,213068.80391196522,13068.803911965224,1.065344019559826
2020-02-08,0,0.267837777965952,0.0,0.003031,0.0,11.6984,200000,213068.80391196522,13068.803911965224,1.065344019559826
2020-02-09,1,1.1296005821012811,-31963516.938488632,0.003333,9103.559235717377,11.7025,200000,213068.80391196522,13068.803911965224,1.065344019559826
2020-02-10,2,1.334494662258607,0.0,0.003465,0.0,11.8387,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-02-11,2,1.3877405818241848,0.0,0.003563,0.0,11.96,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-02-12,2,1.5456414652306736,0.0,0.00372,0.0,12.2074,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-02-13,2,1.909496498156911,0.0,0.003918,0.0,12.055,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-02-14,2,1.6515587177413753,0.0,0.003836,0.0,12.0094,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-02-15,2,1.746712080278925,0.0,0.003458,0.0,10.4066,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-02-16,2,1.7159319961814663,0.0,0.003274,0.0,9.5637,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-02-17,2,1.6087353650786016,0.0,0.003369,0.0,9.6792,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-02-18,2,1.380858416673806,0.0,0.003394,0.0,9.8629,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-02-19,2,1.372791051901065,0.0,0.003088,0.0,8.813,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-02-20,2,1.288306542731052,0.0,0.003129,0.0,8.8702,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-02-21,0,0.7967532133127676,0.0,0.003134,0.0,9.4157,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-02-22,0,0.7052266645337192,0.0,0.003154,0.0,9.4958,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-02-23,0,0.6611252406936216,0.0,0.003246,0.0,9.7439,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-02-24,0,0.6888880354845253,0.0,0.003151,0.0,9.3481,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-02-25,0,0.21137186823650836,0.0,0.002966,0.0,9.1742,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-02-26,0,0.482869864174521,0.0,0.002565,0.0,7.6823,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-02-27,0,0.9855850928503661,0.0,0.002696,0.0,7.7166,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-02-28,2,1.886056432648176,0.0,0.00277,0.0,7.4529,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-02-29,2,1.635574482788985,0.0,0.002709,0.0,7.354,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-03-01,0,0.7208603581064208,0.0,0.002713,0.0,7.7346,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-03-02,0,-0.9591862363271454,0.0,0.002732,0.0,8.456,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-03-03,0,-0.5011918462505351,0.0,0.002823,0.0,8.4782,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-03-04,2,1.5954178897879678,0.0,0.002906,0.0,7.9381,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-03-05,2,1.567276818102273,0.0,0.00301,0.0,8.1748,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-03-06,1,1.1263969876197846,-36164727.71676282,0.002987,13143.369756289836,8.2189,200000,216048.08337994106,16048.083379941061,1.0802404168997053
2020-03-07,2,1.4501032281066883,0.0,0.002896,0.0,7.8017,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-08,2,2.085944112896851,0.0,0.002504,0.0,6.4442,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-09,0,0.7941840837826366,0.0,0.002535,0.0,6.9302,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-10,0,0.6658563237045426,0.0,0.002487,0.0,6.8285,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-11,0,0.607671101757283,0.0,0.002398,0.0,6.5922,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-12,-2,-2.254468238398707,0.0,0.001116,0.0,3.7168,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-13,-2,-2.375390090028131,0.0,0.001383,0.0,4.8432,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-14,0,-0.937141860816383,0.0,0.00148,0.0,4.5898,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-15,0,-0.9056226029282503,0.0,0.001626,0.0,5.0484,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-16,0,-0.5068297495830242,0.0,0.001501,0.0,4.4987,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-17,0,-0.47116578561131056,0.0,0.001541,0.0,4.6047,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-18,0,-0.9191625193688994,0.0,0.001476,0.0,4.6039,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-19,0,-0.12952238719251136,0.0,0.001718,0.0,5.0403,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-20,0,0.8949453609921728,0.0,0.0018,0.0,4.8869,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-21,0,0.16501860757774656,0.0,0.001746,0.0,5.008,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-22,0,0.0056426097996465155,0.0,0.001587,0.0,4.5935,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-23,0,-0.20801116680609164,0.0,0.00169,0.0,4.9669,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-24,0,-0.639018929766245,0.0,0.001657,0.0,5.0657,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-25,0,-0.499563840625218,0.0,0.001651,0.0,5.0181,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-26,0,-0.08362894831770439,0.0,0.001725,0.0,5.0968,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-27,0,0.22584992688031966,0.0,0.001696,0.0,4.9209,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-28,0,0.7087419241472743,0.0,0.001697,0.0,4.8133,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-29,0,-0.37456696748496177,0.0,0.001578,0.0,4.8126,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-30,0,0.42345517555238155,0.0,0.001697,0.0,4.9529,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-03-31,0,0.9505147501287403,0.0,0.001734,0.0,4.9341,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-04-01,0,0.5978101353820128,0.0,0.00174,0.0,5.0254,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-04-02,0,0.24205605564396004,0.0,0.001742,0.0,5.0957,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-04-03,0,-0.18874951365163117,0.0,0.001727,0.0,5.1164,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-04-04,0,-0.2827133734321974,0.0,0.001737,0.0,5.1474,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-04-05,0,0.014271929018120789,0.0,0.001715,0.0,5.0296,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-04-06,-1,-1.054560616044939,58983920.81622697,0.00185,-19417.45173408187,5.6197,200000,218240.50702003977,18240.507020039775,1.0912025351001988
2020-04-07,-2,-1.3153734723209436,0.0,0.001793,0.0,5.4749,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-08,-2,-2.014000599721135,0.0,0.001843,0.0,5.8256,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-09,-2,-2.3404555110955414,0.0,0.001828,0.0,5.8893,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-10,-2,-1.46374254747104,0.0,0.00167,0.0,5.2478,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-11,-2,-1.5002422048583732,0.0,0.001666,0.0,5.2804,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-12,0,-0.9244168072005468,0.0,0.001708,0.0,5.3145,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-13,0,-0.8438109617341008,0.0,0.001668,0.0,5.1805,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-14,0,-0.26337587720849054,0.0,0.001727,0.0,5.2449,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-15,-2,-1.225178463394937,0.0,0.001609,0.0,5.1002,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-16,-2,-1.770726546627183,0.0,0.001669,0.0,5.4755,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-17,-2,-1.5648787362848031,0.0,0.001641,0.0,5.3707,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-18,-2,-1.701463825486488,0.0,0.001698,0.0,5.6573,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-19,-2,-1.566989561190834,0.0,0.001639,0.0,5.4796,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-20,0,-0.46935005939318425,0.0,0.001646,0.0,5.2249,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-21,0,-0.47404761921178135,0.0,0.001632,0.0,5.1993,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-22,0,-0.17616741018393603,0.0,0.001706,0.0,5.3867,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-23,0,-0.8999082611505904,0.0,0.00172,0.0,5.6028,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-24,0,-0.44944419983183387,0.0,0.001741,0.0,5.5931,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-25,0,0.1640925630888764,0.0,0.001818,0.0,5.75,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-26,-2,-1.4823450712977717,0.0,0.001869,0.0,6.2159,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-27,-1,-1.104133670414269,59132687.43120801,0.00185,-17924.868384029956,6.103,200000,218790.94349546963,18790.943495469633,1.093954717477348
2020-04-28,-1,-0.5450360788412626,59132687.43120801,0.001887,-17924.868384029956,6.1423,200000,221683.3002579167,21683.300257916708,1.1084165012895835
2020-04-29,-2,-2.372162817446518,0.0,0.001937,0.0,6.7433,200000,225123.69291524892,25123.692915248917,1.1256184645762446
2020-04-30,0,-0.8623443116236439,0.0,0.00194,0.0,6.4418,200000,225123.69291524892,25123.692915248917,1.1256184645762446
2020-05-01,0,-0.13352055101730081,0.0,0.002047,0.0,6.647,200000,225123.69291524892,25123.692915248917,1.1256184645762446
2020-05-02,-2,-2.222551113045187,0.0,0.002115,0.0,7.4719,200000,225123.69291524892,25123.692915248917,1.1256184645762446
2020-05-03,-2,-1.7365931996447945,0.0,0.00206,0.0,7.2077,200000,225123.69291524892,25123.692915248917,1.1256184645762446
2020-05-04,-2,-1.9241713522092498,0.0,0.002033,0.0,7.214,200000,225123.69291524892,25123.692915248917,1.1256184645762446
2020-05-05,-1,-1.0655102684179458,53960616.71027059,0.002086,-15654.244691971971,7.1905,200000,225123.69291524892,25123.692915248917,1.1256184645762446
2020-05-06,-1,-0.478350925403601,53960616.71027059,0.002025,-15654.244691971971,6.8379,200000,216312.4086175331,16312.408617533103,1.0815620430876656
2020-05-07,-1,-0.4907531986607207,53960616.71027059,0.002095,-15654.244691971971,7.09,200000,224036.08687409817,24036.086874098168,1.1201804343704909
2020-05-08,0,1.1860998536373493,0.0,0.002254,0.0,7.1445,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-09,0,-0.20251550325506792,0.0,0.002112,0.0,7.0544,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-10,0,-0.023253043326898266,0.0,0.001862,0.0,6.1909,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-11,0,0.7649784804509938,0.0,0.00186,0.0,6.0165,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-12,2,3.0514378280671646,0.0,0.002115,0.0,6.0888,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-13,2,1.901671948900761,0.0,0.002082,0.0,6.2145,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-14,2,2.0354851506083924,0.0,0.002155,0.0,6.2779,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-15,2,2.5168409713699003,0.0,0.002376,0.0,6.5011,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-16,2,3.0083007534737445,0.0,0.002749,0.0,6.6938,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-17,2,1.7839485099050263,0.0,0.002534,0.0,6.6575,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-18,2,1.5698656843711456,0.0,0.002556,0.0,6.712,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-19,2,2.47426630759195,0.0,0.002951,0.0,6.6712,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-20,2,3.4076976025019112,0.0,0.003893,0.0,6.4513,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-21,2,3.9750907624678393,0.0,0.007618,0.0,6.1255,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-22,2,2.3373541426413067,0.0,0.006619,0.0,6.4632,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-23,2,2.7145357544538355,0.0,0.009016,0.0,6.5575,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-24,2,3.5547716054442065,0.0,0.017882,0.0,6.5819,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-25,2,2.342446749653942,0.0,0.016088,0.0,6.8067,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-26,2,1.662908311201523,0.0,0.013827,0.0,6.708,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-27,0,0.9148953709526476,0.0,0.010594,0.0,6.7757,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-28,0,0.4657899061650585,0.0,0.00866,0.0,6.8609,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-29,0,0.6072891220927229,0.0,0.010282,0.0,7.2254,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-30,0,0.4202275574876494,0.0,0.009945,0.0,7.4928,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-05-31,0,0.2287098588081561,0.0,0.008509,0.0,6.9388,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-06-01,0,0.1960862783174426,0.0,0.00896,0.0,7.2045,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-06-02,0,0.10109853563644723,0.0,0.0085,0.0,6.9781,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-06-03,0,0.08550130854561001,0.0,0.00868,0.0,6.9413,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-06-04,0,0.013711186933767727,0.0,0.008622,0.0,6.9152,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-06-05,0,-0.10373704485628399,0.0,0.008324,0.0,6.8436,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-06-06,0,-0.20181699325408134,0.0,0.008279,0.0,6.862,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-06-07,0,-0.358822054496903,0.0,0.008019,0.0,6.8326,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-06-08,0,-0.5729818608069108,0.0,0.007737,0.0,6.9004,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-06-09,0,-0.7531236515391634,0.0,0.007345,0.0,6.7826,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-06-10,0,-0.8312658730647938,0.0,0.007026,0.0,6.8084,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-06-11,0,-0.8985603079155301,0.0,0.00626,0.0,6.264,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-06-12,0,0.438353324348215,0.0,0.010355,0.0,6.4048,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-06-13,1,1.1648390930675043,-9329270.169486733,0.011541,16584.12381221545,6.4923,200000,215338.21405209275,15338.21405209275,1.0766910702604637
2020-06-14,1,0.9906896317233165,-9329270.169486733,0.010087,16584.12381221545,6.3165,200000,198857.96625947155,-1142.0337405284517,0.9942898312973577
2020-06-15,2,1.4851584553743915,0.0,0.010208,0.0,6.2414,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-06-16,2,1.229571491115234,0.0,0.009892,0.0,6.2527,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-06-17,0,0.7291146124277721,0.0,0.009332,0.0,6.2823,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-06-18,0,0.46722599690201577,0.0,0.008862,0.0,6.2085,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-06-19,0,0.8751594075244542,0.0,0.009719,0.0,6.3406,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-06-20,0,0.6512562277104801,0.0,0.009369,0.0,6.2619,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-06-21,0,0.5700623860202543,0.0,0.009259,0.0,6.2125,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-06-22,0,0.460121279876873,0.0,0.009419,0.0,6.3745,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-06-23,0,0.6848817151255293,0.0,0.009844,0.0,6.3735,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-06-24,0,0.35540518863516607,0.0,0.009209,0.0,6.2228,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-06-25,0,0.21789112733989593,0.0,0.008983,0.0,6.1534,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-06-26,0,0.1377829512716582,0.0,0.008785,0.0,6.044,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-06-27,0,0.12367155603280473,0.0,0.008182,0.0,5.589,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-06-28,0,0.05781894448789677,0.0,0.008434,0.0,5.7511,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-06-29,0,-0.2168083430876958,0.0,0.008354,0.0,5.8253,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-06-30,0,-0.46675675821824975,0.0,0.00816,0.0,5.7284,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-07-01,0,-0.8320828375001041,0.0,0.008223,0.0,5.7095,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-07-02,0,0.07986163519563981,0.0,0.008552,0.0,5.6408,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-07-03,0,-0.7241173155757956,0.0,0.008192,0.0,5.6483,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-07-04,0,-0.7583029377813867,0.0,0.008228,0.0,5.6977,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-07-05,-1,-1.1398691993120114,12849897.826774968,0.008057,-18324.830399363855,5.6498,200000,207063.25358065183,7063.253580651828,1.035316267903259
2020-07-06,-2,-1.3928090166501956,0.0,0.008642,0.0,6.1047,200000,207882.02870065908,7882.028700659081,1.0394101435032954
2020-07-07,-1,-1.133930426090637,11764687.532578329,0.008835,-16712.92358347208,6.2192,200000,207882.0287006591,7882.02870065911,1.0394101435032956
2020-07-08,-2,-2.5859095391504887,0.0,0.008886,0.0,6.634,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-09,-2,-2.815120566895013,0.0,0.008545,0.0,6.6456,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-10,-2,-1.9541283125158528,0.0,0.008389,0.0,6.3821,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-11,-2,-1.7659403511840077,0.0,0.008508,0.0,6.5017,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-12,0,0.8986908728644057,0.0,0.009628,0.0,6.4603,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-13,0,-0.6420040592951963,0.0,0.008696,0.0,6.3015,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-14,0,-0.7512415944328019,0.0,0.008655,0.0,6.3273,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-15,0,-0.4410255190157293,0.0,0.00861,0.0,6.2219,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-16,0,-0.3474265249508943,0.0,0.008363,0.0,6.0317,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-17,0,-0.05421056725286221,0.0,0.00845,0.0,6.029,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-18,0,-0.13431066353913904,0.0,0.008432,0.0,6.0518,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-19,0,-0.39575028579291294,0.0,0.008389,0.0,6.1004,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-20,0,-0.2697245166160098,0.0,0.008322,0.0,6.0289,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-21,0,-0.6788900313130417,0.0,0.008372,0.0,6.1908,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-22,0,-0.3127643600752316,0.0,0.0087,0.0,6.3569,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-23,-2,-1.2491104480527826,0.0,0.008471,0.0,6.4402,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-24,-2,-1.278836703681125,0.0,0.008177,0.0,6.2548,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-25,-2,-2.1522333940219616,0.0,0.008331,0.0,6.7067,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-26,-2,-1.9512156810579058,0.0,0.008188,0.0,6.6358,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-27,-2,-2.932772691784115,0.0,0.007821,0.0,7.1167,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-28,-2,-1.8786768270738536,0.0,0.00835,0.0,7.2125,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-29,-2,-1.8035536371614012,0.0,0.008291,0.0,7.2644,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-30,-2,-1.7897357844553956,0.0,0.008183,0.0,7.3422,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-07-31,-2,-1.5151724046187367,0.0,0.008312,0.0,7.3976,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-08-01,-2,-1.265945177763244,0.0,0.008929,0.0,7.833,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-08-02,0,-0.9160789584838442,0.0,0.008407,0.0,7.1939,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-08-03,0,-0.575402585685865,0.0,0.008596,0.0,7.1658,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-08-04,0,0.21089904399352397,0.0,0.009153,0.0,7.139,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-08-05,0,-0.19264965403280232,0.0,0.008894,0.0,7.2239,200000,214214.55033892184,14214.550338921836,1.0710727516946092
2020-08-06,0,0.16493003585117097,0.0,0.00895,0.0,7.0997,200000,214214.55033892184,14214.550338921836,1.0710727516946092
