date,statusList,zscore,ETCUSDT_position,ETCUSDT_price,BNBUSDT_position,BNBUSDT_price,init,total_asset,pnl,return
2020-01-24,1,1.0517004535512953,-11845.393918574762,8.6118,5864.277169196125,17.1148,200000,202376.09424334,2376.0942433399905,1.0118804712167
2020-01-25,1,0.8535293345530905,-11845.393918574762,8.3966,5864.277169196125,16.9555,200000,198892.78611900975,-1107.2138809902535,0.9944639305950488
2020-01-26,1,1.1488114163230887,-11845.393918574762,9.19,5864.277169196125,17.499,200000,211478.15629546504,11478.156295465044,1.0573907814773251
2020-01-27,2,1.8218837492880973,0.0,10.4161,0.0,17.67,200000,219761.03001557104,19761.030015571043,1.0988051500778553
2020-01-28,2,2.0442351841310615,0.0,11.3697,0.0,18.0662,200000,219761.03001557104,19761.030015571043,1.0988051500778553
2020-01-29,2,2.260379934259941,0.0,12.2231,0.0,17.9134,200000,219761.03001557104,19761.030015571043,1.0988051500778553
2020-01-30,2,1.7930389020940416,0.0,12.2842,0.0,18.5555,200000,219761.03001557104,19761.030015571043,1.0988051500778553
2020-01-31,2,1.2151540068852509,0.0,11.338,0.0,18.2644,200000,219761.03001557104,19761.030015571043,1.0988051500778553
2020-02-01,2,1.2308278632017424,0.0,11.5282,0.0,18.2752,200000,219761.03001557104,19761.030015571043,1.0988051500778553
2020-02-02,0,0.99965821531662,0.0,11.3658,0.0,18.4333,200000,219761.03001557104,19761.030015571043,1.0988051500778553
2020-02-03,1,1.1867331953944689,-9329.143248355906,11.7782,5952.357259359996,18.46,200000,219761.03001557104,19761.030015571043,1.0988051500778553
2020-02-04,1,0.9518581984885351,-9329.143248355906,11.4111,5952.357259359996,18.1778,200000,214656.54631050822,14656.546310508216,1.073282731552541
2020-02-05,1,1.0215051824761607,-9329.143248355906,12.3345,5952.357259359996,19.262,200000,229724.62292663817,29724.62292663817,1.148623114633191
2020-02-06,1,0.21795836451029224,-9329.143248355906,12.1132,5952.357259359996,20.6675,200000,236026.12165380747,36026.121653807466,1.1801306082690373
2020-02-07,0,-0.6523502353371674,0.0,11.6967,0.0,22.0555,200000,197599.0043148012,-2400.99568519881,0.987995021574006
2020-02-08,0,-0.6097694200351235,0.0,11.6984,0.0,21.7888,200000,197599.0043148012,-2400.99568519881,0.987995021574006
2020-02-09,-2,-1.4476419279289485,0.0,11.7025,0.0,24.38,200000,197599.0043148012,-2400.99568519881,0.987995021574006
2020-02-10,-2,-1.5314005555781118,0.0,11.8387,0.0,25.1465,200000,197599.0043148012,-2400.99568519881,0.987995021574006
2020-02-11,-2,-1.4906242891648296,0.0,11.96,0.0,25.6963,200000,197599.0043148012,-2400.99568519881,0.987995021574006
2020-02-12,-2,-1.4700895149159976,0.0,12.2074,0.0,26.4243,200000,197599.0043148012,-2400.99568519881,0.987995021574006
2020-02-13,-2,-1.2628524988697778,0.0,12.055,0.0,25.4579,200000,197599.0043148012,-2400.99568519881,0.987995021574006
2020-02-14,-2,-1.4269189821721053,0.0,12.0094,0.0,26.3547,200000,197599.0043148012,-2400.99568519881,0.987995021574006
2020-02-15,-2,-1.5965412926569684,0.0,10.4066,0.0,24.2576,200000,197599.0043148012,-2400.99568519881,0.987995021574006
2020-02-16,-2,-1.5956133734611735,0.0,9.5637,0.0,23.3193,200000,197599.0043148012,-2400.99568519881,0.987995021574006
2020-02-17,-2,-1.3945659324152524,0.0,9.6792,0.0,23.4555,200000,197599.0043148012,-2400.99568519881,0.987995021574006
2020-02-18,-2,-1.305460965478363,0.0,9.8629,0.0,24.0821,200000,197599.0043148012,-2400.99568519881,0.987995021574006
2020-02-19,-2,-1.3454441348083779,0.0,8.813,0.0,22.3709,200000,197599.0043148012,-2400.99568519881,0.987995021574006
2020-02-20,-1,-1.1547761515084995,11138.362399652837,8.8702,-4457.938245395422,22.1626,200000,197599.0043148012,-2400.99568519881,0.987995021574006
2020-02-21,-1,-0.8022223394673988,11138.362399652837,9.4157,-4457.938245395422,22.1888,200000,203791.77898584114,3791.7789858411415,1.0189588949292057
2020-02-22,-1,-0.633454055389949,11138.362399652837,9.4958,-4457.938245395422,21.9689,200000,203703.6611938909,3703.6611938909045,1.0185183059694545
2020-02-23,-1,-0.6335077157039953,11138.362399652837,9.7439,-4457.938245395422,22.8452,200000,210373.58018968476,10373.580189684755,1.0518679009484238
2020-02-24,-1,-0.6156154485798314,11138.362399652837,9.3481,-4457.938245395422,22.0965,200000,202627.35798757465,2627.357987574651,1.0131367899378732
2020-02-25,0,-0.04389789865235019,0.0,9.1742,0.0,20.3193,200000,185995.62457756934,-14004.375422430661,0.9299781228878466
2020-02-26,0,-0.8768786796476528,0.0,7.6823,0.0,18.7441,200000,185995.62457756934,-14004.375422430661,0.9299781228878466
2020-02-27,-1,-1.0275644299990163,12051.65646642105,7.7166,-4843.636056707535,19.2,200000,185995.62457756934,-14004.375422430661,0.9299781228878466
2020-02-28,-2,-1.3568566039080874,0.0,7.4529,0.0,18.9838,200000,188126.4522723044,-11873.547727695608,0.940632261361522
2020-02-29,-2,-1.5665897883840856,0.0,7.354,0.0,19.23,200000,188126.4522723044,-11873.547727695608,0.940632261361522
2020-03-01,0,-0.5371023978729761,0.0,7.7346,0.0,18.902,200000,188126.4522723044,-11873.547727695608,0.940632261361522
2020-03-02,0,0.12657010617068254,0.0,8.456,0.0,19.9289,200000,188126.4522723044,-11873.547727695608,0.940632261361522
2020-03-03,0,0.48748653258802377,0.0,8.4782,0.0,19.6882,200000,188126.4522723044,-11873.547727695608,0.940632261361522
2020-03-04,0,-0.9444792679076706,0.0,7.9381,0.0,19.95,200000,188126.4522723044,-11873.547727695608,0.940632261361522
2020-03-05,-1,-1.0937145394598033,11506.48653620299,8.1748,-4533.997847131146,20.7462,200000,188126.4522723044,-11873.547727695608,0.940632261361522
2020-03-06,-2,-1.4324322237702063,0.0,8.2189,0.0,21.3389,200000,190306.31674005245,-9693.683259947546,0.9515315837002623
2020-03-07,-2,-1.2921473278489977,0.0,7.8017,0.0,20.25,200000,190306.31674005245,-9693.683259947546,0.9515315837002623
2020-03-08,-2,-1.3420952330138345,0.0,6.4442,0.0,16.894,200000,190306.31674005245,-9693.683259947546,0.9515315837002623
2020-03-09,0,0.4831202478264369,0.0,6.9302,0.0,16.5888,200000,190306.31674005245,-9693.683259947546,0.9515315837002623
2020-03-10,0,-0.20103058960191292,0.0,6.8285,0.0,16.8671,200000,190306.31674005245,-9693.683259947546,0.9515315837002623
2020-03-11,0,-0.5528320190698661,0.0,6.5922,0.0,16.5705,200000,190306.31674005245,-9693.683259947546,0.9515315837002623
2020-03-12,0,-0.3100000549725804,0.0,3.7168,0.0,9.2566,200000,190306.31674005245,-9693.683259947546,0.9515315837002623
2020-03-13,2,1.7575318114618308,0.0,4.8432,0.0,10.9204,200000,190306.31674005245,-9693.683259947546,0.9515315837002623
2020-03-14,2,1.938918059707028,0.0,4.5898,0.0,10.1487,200000,190306.31674005245,-9693.683259947546,0.9515315837002623
2020-03-15,2,2.632135128413062,0.0,5.0484,0.0,10.3898,200000,190306.31674005245,-9693.683259947546,0.9515315837002623
2020-03-16,2,2.0937069268466058,0.0,4.4987,0.0,9.4285,200000,190306.31674005245,-9693.683259947546,0.9515315837002623
2020-03-17,1,1.0620192274439721,-20664.355630122747,4.6047,9276.356883679051,10.2576,200000,190306.31674005243,-9693.683259947575,0.9515315837002621
2020-03-18,1,0.8045527200651964,-20664.355630122747,4.6039,9276.356883679051,10.3866,200000,191486.43529354295,-8513.564706457051,0.9574321764677147
2020-03-19,0,-0.24386952910674545,0.0,5.0403,0.0,12.2597,200000,180735.5159357201,-19264.48406427991,0.9036775796786004
2020-03-20,0,-0.33131529659476583,0.0,4.8869,0.0,11.9147,200000,180735.5159357201,-19264.48406427991,0.9036775796786004
2020-03-21,0,-0.21553063195052755,0.0,5.008,0.0,12.1,200000,180735.5159357201,-19264.48406427991,0.9036775796786004
2020-03-22,0,-0.27815949052290595,0.0,4.5935,0.0,11.167,200000,180735.5159357201,-19264.48406427991,0.9036775796786004
2020-03-23,0,-0.36774883563629185,0.0,4.9669,0.0,12.1887,200000,180735.5159357201,-19264.48406427991,0.9036775796786004
2020-03-24,0,-0.3818970028003808,0.0,5.0657,0.0,12.426,200000,180735.5159357201,-19264.48406427991,0.9036775796786004
2020-03-25,0,-0.4278854364593302,0.0,5.0181,0.0,12.3251,200000,180735.5159357201,-19264.48406427991,0.9036775796786004
2020-03-26,-1,-1.14851623500869,17730.293118792193,5.0968,-6846.560949152212,13.199,200000,180735.5159357201,-19264.48406427991,0.9036775796786004
2020-03-27,-1,-0.7528722226459724,17730.293118792193,4.9209,-6846.560949152212,12.3354,200000,171704.06734043668,-28295.932659563317,0.8585203367021834
2020-03-28,-1,-0.9447401235067306,17730.293118792193,4.8133,-6846.560949152212,12.1888,200000,168792.58196570893,-31207.41803429107,0.8439629098285446
2020-03-29,0,0.15769148622038492,0.0,4.8126,0.0,11.3008,200000,172778.3232464001,-27221.676753599895,0.8638916162320005
2020-03-30,0,-0.49043625401233404,0.0,4.9529,0.0,12.1365,200000,172778.3232464001,-27221.676753599895,0.8638916162320005
2020-03-31,-1,-1.0093066121203709,17508.59561484365,4.9341,-6886.287205618134,12.5451,200000,172778.3232464001,-27221.676753599895,0.8638916162320005
2020-04-01,-1,-0.9249624108095073,17508.59561484365,5.0254,-6886.287205618134,12.72,200000,175581.26965829794,-24418.73034170206,0.8779063482914897
2020-04-02,-1,-0.9529145562363887,17508.59561484365,5.0957,-6886.287205618134,13.0166,200000,178854.5967152078,-21145.403284792206,0.894272983576039
2020-04-03,-1,-1.1365728085574645,17508.59561484365,5.1164,-6886.287205618134,13.3615,200000,181592.10510165273,-18407.894898347266,0.9079605255082637
2020-04-04,-2,-1.4569645384782768,0.0,5.1474,0.0,13.7606,200000,177414.02190018282,-22585.978099817177,0.8870701095009141
2020-04-05,-2,-1.8050390375521663,0.0,5.0296,0.0,13.6888,200000,177414.02190018282,-22585.978099817177,0.8870701095009141
2020-04-06,-2,-1.620846400754491,0.0,5.6197,0.0,15.1989,200000,177414.02190018282,-22585.978099817177,0.8870701095009141
2020-04-07,-2,-1.4774658379073216,0.0,5.4749,0.0,14.7266,200000,177414.02190018282,-22585.978099817177,0.8870701095009141
2020-04-08,0,-0.5519110597807799,0.0,5.8256,0.0,15.0888,200000,177414.02190018282,-22585.978099817177,0.8870701095009141
2020-04-09,0,-0.11916434664531618,0.0,5.8893,0.0,15.0096,200000,177414.02190018282,-22585.978099817177,0.8870701095009141
2020-04-10,0,-0.6552956895452928,0.0,5.2478,0.0,13.72,200000,177414.02190018282,-22585.978099817177,0.8870701095009141
2020-04-11,0,-0.5839815724940505,0.0,5.2804,0.0,13.807,200000,177414.02190018282,-22585.978099817177,0.8870701095009141
2020-04-12,-1,-1.1431808217803174,16691.506435241587,5.3145,-6211.627566389237,14.2808,200000,177414.02190018282,-22585.978099817177,0.8870701095009141
2020-04-13,-2,-2.3705845064601037,0.0,5.1805,0.0,15.0277,200000,184290.14839184127,-15709.85160815873,0.9214507419592064
2020-04-14,-2,-2.326898828084421,0.0,5.2449,0.0,15.6148,200000,184290.14839184127,-15709.85160815873,0.9214507419592064
2020-04-15,-2,-1.4498777523576816,0.0,5.1002,0.0,14.5755,200000,184290.14839184127,-15709.85160815873,0.9214507419592064
2020-04-16,-2,-1.3757415477062214,0.0,5.4755,0.0,15.7394,200000,184290.14839184127,-15709.85160815873,0.9214507419592064
2020-04-17,-2,-1.4016433319232864,0.0,5.3707,0.0,15.64,200000,184290.14839184127,-15709.85160815873,0.9214507419592064
2020-04-18,-2,-1.462528520167808,0.0,5.6573,0.0,16.6137,200000,184290.14839184127,-15709.85160815873,0.9214507419592064
2020-04-19,-2,-1.3304396930743192,0.0,5.4796,0.0,16.0683,200000,184290.14839184127,-15709.85160815873,0.9214507419592064
2020-04-20,0,-0.8705550014415868,0.0,5.2249,0.0,14.9892,200000,184290.14839184127,-15709.85160815873,0.9214507419592064
2020-04-21,-1,-1.0195294679598126,17722.592309718737,5.1993,-6090.907385226406,15.1283,200000,184290.14839184127,-15709.85160815873,0.9214507419592064
2020-04-22,-1,-0.9690254756430957,17722.592309718737,5.3867,-6090.907385226406,15.7104,200000,191156.87937962287,-8843.120620377129,0.9557843968981143
2020-04-23,-1,-0.5456594974833402,17722.592309718737,5.6028,-6090.907385226406,16.034,200000,196957.74920761233,-3042.250792387669,0.9847887460380617
2020-04-24,-1,-0.3978869443744104,17722.592309718737,5.5931,-6090.907385226406,15.9319,200000,196163.95841817645,-3836.0415818235488,0.9808197920908822
2020-04-25,0,-0.18017094662670394,0.0,5.75,0.0,16.2283,200000,181230.31493062823,-18769.68506937177,0.9061515746531411
2020-04-26,2,1.2015278436929662,0.0,6.2159,0.0,16.3588,200000,181230.31493062823,-18769.68506937177,0.9061515746531411
2020-04-27,0,0.7445751950410461,0.0,6.103,0.0,16.4229,200000,181230.31493062823,-18769.68506937177,0.9061515746531411
2020-04-28,1,1.0473403318109784,-14752.642734043293,6.1423,5545.6032720510475,16.34,200000,181230.31493062823,-18769.68506937177,0.9061515746531411
2020-04-29,2,1.8059527733225587,0.0,6.7433,0.0,17.3667,200000,184402.98233437346,-15597.01766562654,0.9220149116718673
2020-04-30,2,1.3421209912211114,0.0,6.4418,0.0,16.9542,200000,184402.98233437346,-15597.01766562654,0.9220149116718673
2020-05-01,2,1.395603684706146,0.0,6.647,0.0,17.466,200000,184402.98233437346,-15597.01766562654,0.9220149116718673
2020-05-02,2,2.925814052661694,0.0,7.4719,0.0,17.5333,200000,184402.98233437346,-15597.01766562654,0.9220149116718673
2020-05-03,2,2.2026140400242045,0.0,7.2077,0.0,17.1071,200000,184402.98233437346,-15597.01766562654,0.9220149116718673
2020-05-04,2,1.9621961810798243,0.0,7.214,0.0,17.0074,200000,184402.98233437346,-15597.01766562654,0.9220149116718673
2020-05-05,2,1.7394671697475073,0.0,7.1905,0.0,16.8886,200000,184402.98233437346,-15597.01766562654,0.9220149116718673
2020-05-06,2,1.318469929741697,0.0,6.8379,0.0,16.3743,200000,184402.98233437346,-15597.01766562654,0.9220149116718673
2020-05-07,1,1.1730616646440966,-13004.441631479087,7.09,5423.521418280074,17.0003,200000,184402.98233437346,-15597.01766562654,0.9220149116718673
2020-05-08,1,1.0596604074713913,-13004.441631479087,7.1445,5423.521418280074,17.1371,200000,185853.6621333098,-14146.337866690214,0.9292683106665489
2020-05-09,1,1.0662839263536643,-13004.441631479087,7.0544,5423.521418280074,16.7751,200000,182718.64718889614,-17281.35281110386,0.9135932359444807
2020-05-10,1,0.4515337936998006,-13004.441631479087,6.1909,5423.521418280074,15.3506,200000,163763.50557977398,-36236.49442022602,0.8188175278988699
2020-05-11,1,0.23288945363309754,-13004.441631479087,6.0165,5423.521418280074,15.0811,200000,160033.89193701756,-39966.10806298244,0.8001694596850878
2020-05-12,0,-0.33574716889468037,0.0,6.0888,0.0,15.7892,200000,177951.36216261558,-22048.63783738442,0.8897568108130779
2020-05-13,0,-0.5338609095175827,0.0,6.2145,0.0,16.2164,200000,177951.36216261558,-22048.63783738442,0.8897568108130779
2020-05-14,0,-0.656143697553054,0.0,6.2779,0.0,16.3777,200000,177951.36216261558,-22048.63783738442,0.8897568108130779
2020-05-15,0,0.6514651493735709,0.0,6.5011,0.0,15.7222,200000,177951.36216261558,-22048.63783738442,0.8897568108130779
2020-05-16,0,0.7401763442088762,0.0,6.6938,0.0,16.058,200000,177951.36216261558,-22048.63783738442,0.8897568108130779
2020-05-17,0,0.23182857997009879,0.0,6.6575,0.0,16.2959,200000,177951.36216261558,-22048.63783738442,0.8897568108130779
2020-05-18,0,-0.12903859485922492,0.0,6.712,0.0,16.6299,200000,177951.36216261558,-22048.63783738442,0.8897568108130779
2020-05-19,-1,-1.0830026900047636,13337.282809885446,6.6712,-5170.058982748654,17.2098,200000,177951.36216261558,-22048.63783738442,0.8897568108130779
2020-05-20,-2,-1.4539264957001121,0.0,6.4513,0.0,16.8998,200000,179281.51236785727,-20718.48763214273,0.8964075618392864
2020-05-21,-2,-1.5164464906462585,0.0,6.1255,0.0,16.0888,200000,179281.51236785727,-20718.48763214273,0.8964075618392864
2020-05-22,0,-0.8849091633860277,0.0,6.4632,0.0,16.5864,200000,179281.51236785727,-20718.48763214273,0.8964075618392864
2020-05-23,0,-0.31326660100187836,0.0,6.5575,0.0,16.48,200000,179281.51236785727,-20718.48763214273,0.8964075618392864
2020-05-24,0,0.6695720137947861,0.0,6.5819,0.0,15.9624,200000,179281.51236785727,-20718.48763214273,0.8964075618392864
2020-05-25,0,0.9585642675728138,0.0,6.8067,0.0,16.3807,200000,179281.51236785727,-20718.48763214273,0.8964075618392864
2020-05-26,0,0.8548332248392935,0.0,6.708,0.0,16.2159,200000,179281.51236785727,-20718.48763214273,0.8964075618392864
2020-05-27,0,0.7286983124203872,0.0,6.7757,0.0,16.47,200000,179281.51236785727,-20718.48763214273,0.8964075618392864
2020-05-28,0,0.09431171867204606,0.0,6.8609,0.0,17.0772,200000,179281.51236785727,-20718.48763214273,0.8964075618392864
2020-05-29,2,1.754640740677561,0.0,7.2254,0.0,17.0031,200000,179281.51236785727,-20718.48763214273,0.8964075618392864
2020-05-30,2,1.4316282165456315,0.0,7.4928,0.0,17.7277,200000,179281.51236785727,-20718.48763214273,0.8964075618392864
2020-05-31,0,0.26895167028361106,0.0,6.9388,0.0,17.0916,200000,179281.51236785727,-20718.48763214273,0.8964075618392864
2020-06-01,0,-0.09920867324437127,0.0,7.2045,0.0,17.9477,200000,179281.51236785727,-20718.48763214273,0.8964075618392864
2020-06-02,0,0.019822704119809225,0.0,6.9781,0.0,17.2669,200000,179281.51236785727,-20718.48763214273,0.8964075618392864
2020-06-03,0,-0.7535881036628416,0.0,6.9413,0.0,17.5779,200000,179281.51236785727,-20718.48763214273,0.8964075618392864
2020-06-04,0,-0.6896542397927458,0.0,6.9152,0.0,17.517,200000,179281.51236785727,-20718.48763214273,0.8964075618392864
2020-06-05,-1,-1.1871346307460982,13098.47977437732,6.8436,-5066.911391067334,17.6914,200000,179281.51236785727,-20718.48763214273,0.8964075618392864
2020-06-06,-1,-0.7864903955134542,13098.47977437732,6.862,-5066.911391067334,17.5511,200000,178811.63672753907,-21188.363272460934,0.8940581836376953
2020-06-07,-1,-0.6281555919731823,13098.47977437732,6.8326,-5066.911391067334,17.4135,200000,177729.33441476148,-22270.665585238516,0.8886466720738074
2020-06-08,-1,-0.4309999268968592,13098.47977437732,6.9004,-5066.911391067334,17.4489,200000,178796.78000670805,-21203.219993291947,0.8939839000335402
2020-06-09,-1,-0.9008517786562792,13098.47977437732,6.7826,-5066.911391067334,17.3733,200000,176870.72058812174,-23129.279411878262,0.8843536029406087
2020-06-10,-1,-0.9381973579900202,13098.47977437732,6.8084,-5066.911391067334,17.406,200000,177374.34936878856,-22625.650631211436,0.8868717468439429
2020-06-11,-2,-1.3472952935995388,0.0,6.264,0.0,16.2298,200000,179467.59355590236,-20532.406444097636,0.8973379677795118
2020-06-12,-2,-1.3137567624303732,0.0,6.4048,0.0,16.6377,200000,179467.59355590236,-20532.406444097636,0.8973379677795118
2020-06-13,-1,-1.0934545932112365,13821.572752021808,6.4923,-5338.0882194603955,16.8101,200000,179467.59355590236,-20532.406444097636,0.8973379677795118
2020-06-14,-2,-1.3551898200018417,0.0,6.3165,0.0,16.5729,200000,180631.2315200518,-19368.768479948194,0.903156157600259
2020-06-15,-2,-1.2289261247497127,0.0,6.2414,0.0,16.377,200000,180631.2315200518,-19368.768479948194,0.903156157600259
2020-06-16,-1,-1.157397531778788,14444.258601888128,6.2527,-5496.024180760906,16.4329,200000,180631.2315200518,-19368.768479948194,0.903156157600259
2020-06-17,-1,-0.8616838635368302,14444.258601888128,6.2823,-5496.024180760906,16.3983,200000,180868.61913801334,-19131.38086198666,0.9043430956900667
2020-06-18,-1,-0.7433768009574493,14444.258601888128,6.2085,-5496.024180760906,16.1608,200000,178497.3271102633,-21502.672889736714,0.8924866355513165
2020-06-19,0,0.8947026305225009,0.0,6.3406,0.0,15.9512,200000,176714.1463410733,-23285.853658926702,0.8835707317053665
2020-06-20,0,0.012119578062981489,0.0,6.2619,0.0,16.059,200000,176714.1463410733,-23285.853658926702,0.8835707317053665
2020-06-21,0,-0.06338108525785274,0.0,6.2125,0.0,15.9775,200000,176714.1463410733,-23285.853658926702,0.8835707317053665
2020-06-22,0,-0.41295950422484856,0.0,6.3745,0.0,16.5051,200000,176714.1463410733,-23285.853658926702,0.8835707317053665
2020-06-23,0,0.17379436636221238,0.0,6.3735,0.0,16.3898,200000,176714.1463410733,-23285.853658926702,0.8835707317053665
2020-06-24,0,0.27468457600259594,0.0,6.2228,0.0,15.9968,200000,176714.1463410733,-23285.853658926702,0.8835707317053665
2020-06-25,0,-0.1896345362828292,0.0,6.1534,0.0,15.906,200000,176714.1463410733,-23285.853658926702,0.8835707317053665
2020-06-26,0,-0.8760452283201415,0.0,6.044,0.0,15.7694,200000,176714.1463410733,-23285.853658926702,0.8835707317053665
2020-06-27,-2,-2.7915997406104354,0.0,5.589,0.0,15.1242,200000,176714.1463410733,-23285.853658926702,0.8835707317053665
2020-06-28,-2,-1.81460019641287,0.0,5.7511,0.0,15.3782,200000,176714.1463410733,-23285.853658926702,0.8835707317053665
2020-06-29,-2,-1.2368608731965536,0.0,5.8253,0.0,15.4656,200000,176714.1463410733,-23285.853658926702,0.8835707317053665
2020-06-30,-2,-1.6795304550586196,0.0,5.7284,0.0,15.3838,200000,176714.1463410733,-23285.853658926702,0.8835707317053665
2020-07-01,-2,-2.5622593300715275,0.0,5.7095,0.0,15.8144,200000,176714.1463410733,-23285.853658926702,0.8835707317053665
2020-07-02,-2,-1.5947015460601952,0.0,5.6408,0.0,15.3634,200000,176714.1463410733,-23285.853658926702,0.8835707317053665
2020-07-03,-1,-1.1977472713826898,15643.126811702043,5.6483,-5780.14779054033,15.2863,200000,176714.1463410733,-23285.853658926702,0.8835707317053665
2020-07-04,-2,-1.3849396815191062,0.0,5.6977,0.0,15.5548,200000,177493.3455583353,-22506.654441664694,0.8874667277916766
2020-07-05,-2,-1.3793242138786193,0.0,5.6498,0.0,15.4885,200000,177493.3455583353,-22506.654441664694,0.8874667277916766
2020-07-06,0,-0.4251656478327015,0.0,6.1047,0.0,16.311,200000,177493.3455583353,-22506.654441664694,0.8874667277916766
2020-07-07,0,-0.7582990629740227,0.0,6.2192,0.0,16.8048,200000,177493.3455583353,-22506.654441664694,0.8874667277916766
2020-07-08,0,0.561669494650766,0.0,6.634,0.0,17.2819,200000,177493.3455583353,-22506.654441664694,0.8874667277916766
2020-07-09,2,1.6704430416240281,0.0,6.6456,0.0,16.8274,200000,177493.3455583353,-22506.654441664694,0.8874667277916766
2020-07-10,0,-0.816713988403435,0.0,6.3821,0.0,17.3123,200000,177493.3455583353,-22506.654441664694,0.8874667277916766
2020-07-11,0,-0.7027965309518956,0.0,6.5017,0.0,17.6205,200000,177493.3455583353,-22506.654441664694,0.8874667277916766
2020-07-12,-2,-1.9854281760135906,0.0,6.4603,0.0,18.2994,200000,177493.3455583353,-22506.654441664694,0.8874667277916766
2020-07-13,-2,-2.4103809814216937,0.0,6.3015,0.0,18.4046,200000,177493.3455583353,-22506.654441664694,0.8874667277916766
2020-07-14,-2,-1.5992965740020342,0.0,6.3273,0.0,18.079,200000,177493.3455583353,-22506.654441664694,0.8874667277916766
2020-07-15,-2,-1.2465284274599833,0.0,6.2219,0.0,17.6351,200000,177493.3455583353,-22506.654441664694,0.8874667277916766
2020-07-16,-2,-1.2311904543617807,0.0,6.0317,0.0,17.1647,200000,177493.3455583353,-22506.654441664694,0.8874667277916766
2020-07-17,0,-0.9894783050380778,0.0,6.029,0.0,17.0676,200000,177493.3455583353,-22506.654441664694,0.8874667277916766
2020-07-18,0,-0.9246512412673438,0.0,6.0518,0.0,17.1507,200000,177493.3455583353,-22506.654441664694,0.8874667277916766
2020-07-19,-2,-1.7602328409337893,0.0,6.1004,0.0,18.0154,200000,177493.3455583353,-22506.654441664694,0.8874667277916766
2020-07-20,-1,-1.1532608556399606,14720.209786058427,6.0289,-5081.546725023199,17.4645,200000,177493.3455583353,-22506.654441664694,0.8874667277916766
2020-07-21,-1,-0.8126451801902294,14720.209786058427,6.1908,-5081.546725023199,17.7285,200000,181218.07585810428,-18781.924141895724,0.9060903792905214
2020-07-22,-1,-0.6013402636428241,14720.209786058427,6.3569,-5081.546725023199,18.09,200000,185500.08184466447,-14499.91815533553,0.9275004092233223
2020-07-23,-1,-1.0408761911226607,14720.209786058427,6.4402,-5081.546725023199,18.75,200000,190080.09615835844,-9919.903841641557,0.9504004807917922
2020-07-24,-2,-1.8876519396564075,0.0,6.2548,0.0,19.1853,200000,182912.37577208463,-17087.624227915367,0.9145618788604232
2020-07-25,-1,-1.0274959418628278,13636.540755668559,6.7067,-4613.360836051004,19.8242,200000,182912.37577208463,-17087.624227915367,0.9145618788604232
2020-07-26,-1,-0.8745727120689178,13636.540755668559,6.6358,-4613.360836051004,19.5557,200000,180706.85764802806,-19293.14235197194,0.9035342882401403
2020-07-27,0,0.44742193785698375,0.0,7.1167,0.0,19.7474,200000,176967.0879500518,-23032.91204994821,0.8848354397502589
2020-07-28,0,0.39177282466418917,0.0,7.2125,0.0,20.1732,200000,176967.0879500518,-23032.91204994821,0.8848354397502589
2020-07-29,2,1.3584611727669935,0.0,7.2644,0.0,19.899,200000,176967.0879500518,-23032.91204994821,0.8848354397502589
