date,statusList,zscore,ZECUSDT_position,ZECUSDT_price,XMRUSDT_position,XMRUSDT_price,init,total_asset,pnl,return
2020-02-06,1,1.0839245214654496,-1525.8434675692788,70.14,1366.828362903055,78.3,200000,214045.32163061842,14045.321630618419,1.070226608153092
2020-02-07,1,0.2544969835232208,-1525.8434675692788,68.38,1366.828362903055,79.48,200000,212972.69459592208,12972.694595922076,1.0648634729796105
2020-02-08,1,0.36628910543421184,-1525.8434675692788,70.02,1366.828362903055,80.64,200000,217060.59878370323,17060.59878370323,1.0853029939185161
2020-02-09,0,-0.9115164268586218,0.0,71.33,0.0,87.59,200000,203163.23986565648,3163.2398656564765,1.0158161993282824
2020-02-10,0,-0.6808658523178797,0.0,69.77,0.0,84.53,200000,203163.23986565648,3163.2398656564765,1.0158161993282824
2020-02-11,-1,-1.000554354006473,1397.6557503140923,72.68,-1136.76835197883,89.36,200000,203163.23986565648,3163.2398656564765,1.0158161993282824
2020-02-12,-2,-1.8430043215447949,0.0,73.12,0.0,94.29,200000,208152.5393107739,8152.539310773893,1.0407626965538694
2020-02-13,-2,-1.6721003579810605,0.0,72.01,0.0,92.25,200000,208152.5393107739,8152.539310773893,1.0407626965538694
2020-02-14,-2,-1.8693423502665965,0.0,72.92,0.0,95.16,200000,208152.5393107739,8152.539310773893,1.0407626965538694
2020-02-15,-2,-2.2741179181892917,0.0,64.46,0.0,89.1,200000,208152.5393107739,8152.539310773893,1.0407626965538694
2020-02-16,-2,-2.3800284861729195,0.0,60.0,0.0,87.8,200000,208152.5393107739,8152.539310773893,1.0407626965538694
2020-02-17,0,-0.8621523445168554,0.0,64.2,0.0,82.59,200000,208152.5393107739,8152.539310773893,1.0407626965538694
2020-02-18,0,-0.998197707417058,0.0,65.74,0.0,86.34,200000,208152.5393107739,8152.539310773893,1.0407626965538694
2020-02-19,0,-0.37367042249520654,0.0,62.1,0.0,77.69,200000,208152.5393107739,8152.539310773893,1.0407626965538694
2020-02-20,0,-0.3530200764543157,0.0,60.79,0.0,76.39,200000,208152.5393107739,8152.539310773893,1.0407626965538694
2020-02-21,0,-0.7414640633792351,0.0,61.56,0.0,80.29,200000,208152.5393107739,8152.539310773893,1.0407626965538694
2020-02-22,0,-0.6151416191885183,0.0,60.73,0.0,78.9,200000,208152.5393107739,8152.539310773893,1.0407626965538694
2020-02-23,0,-0.9533324547498466,0.0,63.32,0.0,85.05,200000,208152.5393107739,8152.539310773893,1.0407626965538694
2020-02-24,0,-0.5067361390461631,0.0,60.7,0.0,79.2,200000,208152.5393107739,8152.539310773893,1.0407626965538694
2020-02-25,0,-0.8124425711663523,0.0,57.06,0.0,76.49,200000,208152.5393107739,8152.539310773893,1.0407626965538694
2020-02-26,-1,-1.1477467203173808,2027.591460264698,51.33,-1473.9593493186085,70.61,200000,208152.5393107739,8152.539310773893,1.0407626965538694
2020-02-27,-1,-0.47223824968792755,2027.591460264698,52.96,-1473.9593493186085,70.26,200000,210941.62761874386,10941.627618743863,1.0547081380937193
2020-02-28,-1,-0.690575465526914,2027.591460264698,50.83,-1473.9593493186085,68.41,200000,203896.0330121406,3896.0330121406005,1.019480165060703
2020-02-29,-1,-0.6227685749131553,2027.591460264698,48.96,-1473.9593493186085,65.92,200000,196434.27820164227,-3565.7217983577284,0.9821713910082114
2020-03-01,0,0.0353618947872965,0.0,49.1,0.0,64.53,200000,203712.39542330703,3712.3954233070253,1.018561977116535
2020-03-02,0,0.1366052874497328,0.0,52.33,0.0,68.78,200000,203712.39542330703,3712.3954233070253,1.018561977116535
2020-03-03,0,0.5219863381253796,0.0,50.78,0.0,65.89,200000,203712.39542330703,3712.3954233070253,1.018561977116535
2020-03-04,0,0.2998204940214214,0.0,50.17,0.0,65.68,200000,203712.39542330703,3712.3954233070253,1.018561977116535
2020-03-05,0,0.05990023471768752,0.0,51.84,0.0,68.46,200000,203712.39542330703,3712.3954233070253,1.018561977116535
2020-03-06,0,0.5252849900429395,0.0,53.3,0.0,69.13,200000,203712.39542330703,3712.3954233070253,1.018561977116535
2020-03-07,0,0.43252681083777955,0.0,50.59,0.0,65.71,200000,203712.39542330703,3712.3954233070253,1.018561977116535
2020-03-08,0,-0.15422537839591663,0.0,42.83,0.0,56.44,200000,203712.39542330703,3712.3954233070253,1.018561977116535
2020-03-09,0,-0.28805241416572497,0.0,42.18,0.0,55.77,200000,203712.39542330703,3712.3954233070253,1.018561977116535
2020-03-10,0,-0.2634299316284165,0.0,41.4,0.0,54.82,200000,203712.39542330703,3712.3954233070253,1.018561977116535
2020-03-11,-1,-1.1518710826241985,2531.2176369695208,40.24,-1879.2656404364116,54.2,200000,203712.39542330703,3712.3954233070253,1.018561977116535
2020-03-12,0,2.7260057525794563,0.0,25.45,0.0,31.81,200000,199072.346584715,-927.6534152849927,0.995361732923575
2020-03-13,-1,-1.0254667536573838,3640.679345002103,27.34,-2695.996026336877,36.92,200000,199072.346584715,-927.6534152849927,0.995361732923575
2020-03-14,-2,-2.990453257428949,0.0,24.95,0.0,36.21,200000,205859.41304057086,5859.4130405708565,1.0292970652028544
2020-03-15,-2,-2.67035632040268,0.0,25.68,0.0,38.01,200000,205859.41304057086,5859.4130405708565,1.0292970652028544
2020-03-16,0,-0.7967139575051482,0.0,24.68,0.0,34.0,200000,205859.41304057086,5859.4130405708565,1.0292970652028544
2020-03-17,-2,-1.8124100144299895,0.0,25.06,0.0,36.26,200000,205859.41304057086,5859.4130405708565,1.0292970652028544
2020-03-18,2,1.5861506036949298,0.0,29.73,0.0,37.12,200000,205859.41304057086,5859.4130405708565,1.0292970652028544
2020-03-19,0,0.9220514751715483,0.0,31.95,0.0,40.87,200000,205859.41304057086,5859.4130405708565,1.0292970652028544
2020-03-20,2,1.7755196239310236,0.0,33.08,0.0,40.33,200000,205859.41304057086,5859.4130405708565,1.0292970652028544
2020-03-21,1,1.1590533753707133,-3116.249062073431,33.03,2496.4760252312744,41.23,200000,205859.41304057086,5859.4130405708565,1.0292970652028544
2020-03-22,1,0.379286895260492,-3116.249062073431,29.49,2496.4760252312744,38.21,200000,187288.53376463248,-12711.466235367523,0.9364426688231624
2020-03-23,0,-0.8586170093760617,0.0,32.05,0.0,44.45,200000,194766.83615849417,-5233.163841505826,0.9738341807924709
2020-03-24,-2,-1.3855708382645597,0.0,32.79,0.0,47.26,200000,194766.83615849417,-5233.163841505826,0.9738341807924709
2020-03-25,-2,-1.4643029092592779,0.0,32.2,0.0,47.15,200000,194766.83615849417,-5233.163841505826,0.9738341807924709
2020-03-26,-2,-1.9441177095308455,0.0,32.46,0.0,50.28,200000,194766.83615849417,-5233.163841505826,0.9738341807924709
2020-03-27,-2,-1.6157214335282306,0.0,31.01,0.0,47.7,200000,194766.83615849417,-5233.163841505826,0.9738341807924709
2020-03-28,-2,-1.510325574937437,0.0,30.38,0.0,47.11,200000,194766.83615849417,-5233.163841505826,0.9738341807924709
2020-03-29,-2,-1.4058192136029006,0.0,28.22,0.0,44.04,200000,194766.83615849417,-5233.163841505826,0.9738341807924709
2020-03-30,-1,-1.0093617706641584,3188.7170294448947,30.54,-2098.3283361182307,46.41,200000,194766.83615849417,-5233.163841505826,0.9738341807924709
2020-03-31,-1,-1.0503941933549672,3188.7170294448947,30.9,-2098.3283361182307,47.6,200000,198411.785009075,-1588.2149909249856,0.9920589250453751
2020-04-01,-1,-1.0017178168405305,3188.7170294448947,31.32,-2098.3283361182307,48.47,200000,201576.59181386477,1576.5918138647685,1.007882959069324
2020-04-02,-1,-1.0723646305084376,3188.7170294448947,32.23,-2098.3283361182307,50.75,200000,209262.51291700915,9262.512917009153,1.0463125645850457
2020-04-03,-2,-1.2544978336179693,0.0,32.66,0.0,52.96,200000,201750.80665764544,1750.806657645444,1.0087540332882272
2020-04-04,-2,-1.2477871196331465,0.0,33.03,0.0,54.11,200000,201750.80665764544,1750.806657645444,1.0087540332882272
2020-04-05,-1,-1.1089651298172531,3101.949671858017,32.52,-1897.9379742017445,53.15,200000,201750.80665764544,1750.806657645444,1.0087540332882272
2020-04-06,-1,-0.6925002434592649,3101.949671858017,37.56,-1897.9379742017445,58.93,200000,228354.71449469595,28354.714494695945,1.1417735724734797
2020-04-07,-1,-0.4136682893023372,3101.949671858017,36.45,-1897.9379742017445,55.94,200000,219236.71581607033,19236.715816070326,1.0961835790803516
2020-04-08,-1,-0.29774385982017726,3101.949671858017,37.86,-1897.9379742017445,57.88,200000,227292.4645233415,27292.464523341507,1.1364623226167074
2020-04-09,0,0.6216979037012519,0.0,40.71,0.0,58.4,200000,186310.01320968743,-13689.98679031257,0.9315500660484372
2020-04-10,0,0.5623531093907694,0.0,36.62,0.0,53.7,200000,186310.01320968743,-13689.98679031257,0.9315500660484372
2020-04-11,0,0.5881707786088116,0.0,36.2,0.0,53.86,200000,186310.01320968743,-13689.98679031257,0.9315500660484372
2020-04-12,0,0.9855245632152866,0.0,36.38,0.0,53.68,200000,186310.01320968743,-13689.98679031257,0.9315500660484372
2020-04-13,0,0.956158834645995,0.0,35.75,0.0,52.98,200000,186310.01320968743,-13689.98679031257,0.9315500660484372
2020-04-14,0,0.25861613755092644,0.0,35.51,0.0,54.09,200000,186310.01320968743,-13689.98679031257,0.9315500660484372
2020-04-15,0,0.3956276835481431,0.0,35.08,0.0,53.12,200000,186310.01320968743,-13689.98679031257,0.9315500660484372
2020-04-16,1,1.174734616919495,-2404.620717729574,38.74,1637.1705905947929,56.9,200000,186310.01320968743,-13689.98679031257,0.9315500660484372
2020-04-17,2,2.2296375715832424,0.0,40.4,0.0,56.21,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-04-18,2,2.059271781202876,0.0,42.13,0.0,58.04,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-04-19,2,3.122136396283136,0.0,46.44,0.0,57.05,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-04-20,2,1.7903032518231727,0.0,41.89,0.0,54.69,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-04-21,2,1.5285868410469354,0.0,42.09,0.0,55.14,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-04-22,2,1.8704765830660164,0.0,45.53,0.0,56.95,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-04-23,0,0.9419940303572317,0.0,44.46,0.0,59.27,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-04-24,0,0.4613708822459555,0.0,44.08,0.0,60.68,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-04-25,0,0.6004583241659774,0.0,44.7,0.0,60.55,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-04-26,0,0.31162075663902994,0.0,44.59,0.0,61.33,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-04-27,0,-0.04118154472503706,0.0,44.46,0.0,62.36,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-04-28,0,0.01670369458024404,0.0,44.62,0.0,62.07,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-04-29,0,-0.20334749354315088,0.0,47.07,0.0,66.32,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-04-30,0,-0.04375326064029206,0.0,44.76,0.0,62.28,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-01,0,-0.05476469183536282,0.0,45.73,0.0,63.45,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-02,0,-0.11523335817882624,0.0,46.5,0.0,64.54,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-03,0,-0.24039585158493487,0.0,44.78,0.0,62.37,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-04,0,-0.2730639679516249,0.0,44.02,0.0,61.06,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-05,0,-0.22348326549602027,0.0,43.84,0.0,60.31,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-06,0,-0.18162631217250366,0.0,42.3,0.0,57.85,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-07,-2,-1.6590201011545926,0.0,44.17,0.0,64.6,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-08,0,0.07940539292115016,0.0,46.76,0.0,63.39,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-09,0,-0.6687324338157086,0.0,45.0,0.0,63.05,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-10,-2,-1.3008237911908775,0.0,40.9,0.0,58.85,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-11,-2,-2.054869179954227,0.0,39.68,0.0,59.36,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-12,-2,-1.5091233683258425,0.0,42.21,0.0,61.5,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-13,-2,-2.3719777929797115,0.0,42.89,0.0,65.0,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-14,-2,-1.9280561967669365,0.0,43.2,0.0,65.28,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-15,-2,-1.5244301627319623,0.0,41.87,0.0,62.77,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-16,-2,-1.8888949397099126,0.0,42.51,0.0,65.42,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-17,0,0.3041855886103497,0.0,46.25,0.0,65.22,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-18,0,0.6299908212988751,0.0,48.07,0.0,66.96,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-19,1,1.1465548708556523,-1954.5776118912488,48.97,1435.0174760766783,66.7,200000,191431.3313086289,-8568.668691371102,0.9571566565431445
2020-05-20,2,1.5106003279828333,0.0,48.39,0.0,64.66,200000,193225.1119449284,-6774.888055071613,0.966125559724642
2020-05-21,2,1.3345817205817834,0.0,46.0,0.0,61.65,200000,193225.1119449284,-6774.888055071613,0.966125559724642
2020-05-22,2,1.564803951552042,0.0,47.7,0.0,62.89,200000,193225.1119449284,-6774.888055071613,0.966125559724642
2020-05-23,0,0.9300771219521253,0.0,46.91,0.0,63.46,200000,193225.1119449284,-6774.888055071613,0.966125559724642
2020-05-24,0,0.9624494416981615,0.0,45.0,0.0,60.64,200000,193225.1119449284,-6774.888055071613,0.966125559724642
2020-05-25,1,1.0378442756646191,-2103.0160202974357,45.94,1569.9147866828762,61.54,200000,193225.1119449284,-6774.888055071613,0.966125559724642
2020-05-26,1,0.42519161123419263,-2103.0160202974357,44.85,1569.9147866828762,61.91,200000,191513.69295387686,-8486.30704612314,0.9575684647693843
2020-05-27,0,0.162344646695534,0.0,46.21,0.0,64.47,200000,189193.07594542787,-10806.924054572126,0.9459653797271393
2020-05-28,0,0.029288752365528734,0.0,47.73,0.0,67.15,200000,189193.07594542787,-10806.924054572126,0.9459653797271393
2020-05-29,0,-0.11330127673334812,0.0,46.6,0.0,66.05,200000,189193.07594542787,-10806.924054572126,0.9459653797271393
2020-05-30,2,2.1288095535179705,0.0,54.55,0.0,68.36,200000,189193.07594542787,-10806.924054572126,0.9459653797271393
2020-05-31,2,1.7516068684571329,0.0,51.51,0.0,64.94,200000,189193.07594542787,-10806.924054572126,0.9459653797271393
2020-06-01,2,1.7931707964203987,0.0,54.65,0.0,67.72,200000,189193.07594542787,-10806.924054572126,0.9459653797271393
2020-06-02,0,0.9290891545728895,0.0,51.48,0.0,66.66,200000,189193.07594542787,-10806.924054572126,0.9459653797271393
2020-06-03,1,1.166462412537982,-1790.5837208539456,52.83,1408.5249847039004,67.16,200000,189193.07594542787,-10806.924054572126,0.9459653797271393
2020-06-04,1,0.607190289785967,-1790.5837208539456,52.24,1408.5249847039004,68.14,200000,189516.9860351339,-10483.013964866113,0.9475849301756695
2020-06-05,1,0.9277079258436762,-1790.5837208539456,52.57,1408.5249847039004,67.45,200000,189135.99642357,-10864.003576429997,0.94567998211785
2020-06-06,1,0.8691171102540937,-1790.5837208539456,52.83,1408.5249847039004,67.7,200000,189953.679437168,-10046.320562832,0.94976839718584
2020-06-07,1,0.967088579982698,-1790.5837208539456,52.21,1408.5249847039004,66.39,200000,186998.34980027645,-13001.650199723546,0.9349917490013823
2020-06-08,1,0.33570997141612224,-1790.5837208539456,52.5,1408.5249847039004,68.28,200000,190179.73130041448,-9820.268699585518,0.9508986565020724
2020-06-09,0,0.16303053802851633,0.0,51.98,0.0,67.99,200000,186502.0040453978,-13497.9959546022,0.932510020226989
2020-06-10,0,0.9989509468316989,0.0,55.21,0.0,69.67,200000,186502.0040453978,-13497.9959546022,0.932510020226989
2020-06-11,0,0.5253445883034161,0.0,49.64,0.0,63.71,200000,186502.0040453978,-13497.9959546022,0.932510020226989
2020-06-12,0,0.6644287297304049,0.0,51.61,0.0,65.69,200000,186502.0040453978,-13497.9959546022,0.932510020226989
2020-06-13,0,0.8243676716981765,0.0,52.81,0.0,66.58,200000,186502.0040453978,-13497.9959546022,0.932510020226989
2020-06-14,0,0.38916119504682767,0.0,51.1,0.0,65.39,200000,186502.0040453978,-13497.9959546022,0.932510020226989
2020-06-15,1,1.1829538371595392,-1786.4176632700937,52.2,1445.0798391864078,64.53,200000,186502.0040453978,-13497.9959546022,0.932510020226989
2020-06-16,1,0.903301605105933,-1786.4176632700937,52.97,1445.0798391864078,66.0,200000,190001.81300971977,-9998.186990280228,0.9500090650485988
2020-06-17,2,1.2886051447186466,0.0,52.91,0.0,65.09,200000,186961.11587637517,-13038.884123624826,0.9348055793818759
2020-06-18,0,0.8525771671517183,0.0,51.95,0.0,64.93,200000,186961.11587637517,-13038.884123624826,0.9348055793818759
2020-06-19,0,0.9704294087974283,0.0,51.41,0.0,64.09,200000,186961.11587637517,-13038.884123624826,0.9348055793818759
2020-06-20,0,0.9336038103110942,0.0,51.4,0.0,64.06,200000,186961.11587637517,-13038.884123624826,0.9348055793818759
2020-06-21,0,-0.2930092799844264,0.0,50.51,0.0,64.48,200000,186961.11587637517,-13038.884123624826,0.9348055793818759
2020-06-22,2,1.374797475748868,0.0,53.53,0.0,66.16,200000,186961.11587637517,-13038.884123624826,0.9348055793818759
2020-06-23,2,3.332775188077474,0.0,58.23,0.0,66.87,200000,186961.11587637517,-13038.884123624826,0.9348055793818759
2020-06-24,2,2.0943677614081264,0.0,55.2,0.0,64.83,200000,186961.11587637517,-13038.884123624826,0.9348055793818759
2020-06-25,2,2.2193156650080637,0.0,55.81,0.0,64.3,200000,186961.11587637517,-13038.884123624826,0.9348055793818759
2020-06-26,2,1.9394659966938324,0.0,55.7,0.0,64.0,200000,186961.11587637517,-13038.884123624826,0.9348055793818759
2020-06-27,0,0.9619582085467856,0.0,52.24,0.0,62.08,200000,186961.11587637517,-13038.884123624826,0.9348055793818759
2020-06-28,0,0.20920142915134998,0.0,51.81,0.0,63.29,200000,186961.11587637517,-13038.884123624826,0.9348055793818759
2020-06-29,0,0.07032782865808908,0.0,52.42,0.0,64.19,200000,186961.11587637517,-13038.884123624826,0.9348055793818759
2020-06-30,0,-0.17241255009029335,0.0,51.44,0.0,63.48,200000,186961.11587637517,-13038.884123624826,0.9348055793818759
2020-07-01,0,-0.452845782372138,0.0,51.86,0.0,64.52,200000,186961.11587637517,-13038.884123624826,0.9348055793818759
2020-07-02,-1,-1.1117559166755253,1826.5056259903788,51.18,-1433.750888622509,65.2,200000,186961.11587637517,-13038.884123624826,0.9348055793818759
2020-07-03,0,-0.07426852280507683,0.0,51.11,0.0,62.66,200000,183447.2440130933,-16552.755986906704,0.9172362200654665
2020-07-04,0,-0.6637685367084387,0.0,51.43,0.0,64.22,200000,183447.2440130933,-16552.755986906704,0.9172362200654665
2020-07-05,0,-0.40179359083895794,0.0,51.16,0.0,63.33,200000,183447.2440130933,-16552.755986906704,0.9172362200654665
2020-07-06,2,1.2197462658075506,0.0,55.55,0.0,64.95,200000,183447.2440130933,-16552.755986906704,0.9172362200654665
2020-07-07,1,1.029150877426578,-1665.279992856693,55.08,1420.0901378935848,64.59,200000,183447.2440130933,-16552.755986906704,0.9172362200654665
2020-07-08,2,1.5643230008799145,0.0,57.94,0.0,66.27,200000,185824.19336100222,-14175.806638997776,0.9291209668050111
2020-07-09,0,0.5342327772106303,0.0,56.86,0.0,67.28,200000,185824.19336100222,-14175.806638997776,0.9291209668050111
2020-07-10,0,0.10384205079863679,0.0,56.07,0.0,67.25,200000,185824.19336100222,-14175.806638997776,0.9291209668050111
2020-07-11,0,-0.7229420965175549,0.0,55.84,0.0,68.74,200000,185824.19336100222,-14175.806638997776,0.9291209668050111
2020-07-12,0,0.48841881876784526,0.0,58.65,0.0,69.22,200000,185824.19336100222,-14175.806638997776,0.9291209668050111
2020-07-13,2,1.7637319468357153,0.0,61.26,0.0,69.26,200000,185824.19336100222,-14175.806638997776,0.9291209668050111
2020-07-14,2,2.306696267378729,0.0,62.02,0.0,67.81,200000,185824.19336100222,-14175.806638997776,0.9291209668050111
2020-07-15,0,0.8398342046061015,0.0,61.14,0.0,70.63,200000,185824.19336100222,-14175.806638997776,0.9291209668050111
2020-07-16,1,1.0525181687317857,-1572.1166951015416,59.1,1372.4091090177417,67.7,200000,185824.19336100222,-14175.806638997776,0.9291209668050111
2020-07-17,1,1.151705611037081,-1572.1166951015416,59.5,1372.4091090177417,67.64,200000,186370.69549250178,-13629.304507498222,0.9318534774625089
2020-07-18,1,0.621325710729862,-1572.1166951015416,59.06,1372.4091090177417,68.39,200000,186708.2709784204,-13291.72902157961,0.933541354892102
2020-07-19,0,0.10482890424422778,0.0,58.38,0.0,68.91,200000,183031.6543186177,-16968.345681382314,0.9151582715930884
2020-07-20,0,-0.6308312016997701,0.0,57.05,0.0,69.31,200000,183031.6543186177,-16968.345681382314,0.9151582715930884
2020-07-21,2,1.4081487312938301,0.0,62.45,0.0,69.63,200000,183031.6543186177,-16968.345681382314,0.9151582715930884
2020-07-22,2,1.3814542945179937,0.0,64.28,0.0,71.48,200000,183031.6543186177,-16968.345681382314,0.9151582715930884
2020-07-23,0,0.3992593228102806,0.0,63.51,0.0,73.02,200000,183031.6543186177,-16968.345681382314,0.9151582715930884
2020-07-24,0,0.681671054192941,0.0,63.01,0.0,71.54,200000,183031.6543186177,-16968.345681382314,0.9151582715930884
2020-07-25,1,1.0189046717600956,-1393.147011102281,65.69,1243.252644468263,73.61,200000,183031.6543186177,-16968.345681382314,0.9151582715930884
2020-07-26,0,-0.7055690305678574,0.0,66.15,0.0,78.16,200000,178015.70241139413,-21984.29758860587,0.8900785120569706
2020-07-27,2,1.25502135464501,0.0,70.77,0.0,78.43,200000,178015.70241139413,-21984.29758860587,0.8900785120569706
2020-07-28,0,0.0635908430005177,0.0,70.57,0.0,81.2,200000,178015.70241139413,-21984.29758860587,0.8900785120569706
2020-07-29,2,1.4265567881423074,0.0,72.13,0.0,79.11,200000,178015.70241139413,-21984.29758860587,0.8900785120569706
2020-07-30,0,-0.05608395204167352,0.0,70.48,0.0,80.92,200000,178015.70241139413,-21984.29758860587,0.8900785120569706
2020-07-31,0,0.4086483201605328,0.0,74.9,0.0,84.55,200000,178015.70241139413,-21984.29758860587,0.8900785120569706
2020-08-01,2,3.2380896043968423,0.0,89.37,0.0,89.64,200000,178015.70241139413,-21984.29758860587,0.8900785120569706
2020-08-02,2,2.4169011379982943,0.0,84.31,0.0,85.0,200000,178015.70241139413,-21984.29758860587,0.8900785120569706
2020-08-03,0,0.8058264849230675,0.0,82.3,0.0,89.06,200000,178015.70241139413,-21984.29758860587,0.8900785120569706
2020-08-04,2,1.6948044304799261,0.0,84.93,0.0,87.24,200000,178015.70241139413,-21984.29758860587,0.8900785120569706
2020-08-05,2,2.813334195738598,0.0,97.46,0.0,90.39,200000,178015.70241139413,-21984.29758860587,0.8900785120569706
2020-08-06,2,1.5425286013416069,0.0,96.75,0.0,95.49,200000,178015.70241139413,-21984.29758860587,0.8900785120569706
