Date,加權指數,報酬指數,台泥,亞泥,統一,台塑,南亞,台化,遠東新,中鋼,正新,和泰車,光寶科,聯電,台達電,鴻海,國巨,台積電,華碩,瑞昱,廣達,研華,南亞科,中華電,聯發科,可成,台灣高鐵,彰銀,華南金,富邦金,國泰金,開發金,玉山金,元大金,兆豐金,台新金,永豐金,中信金,第一金,統一超,大立光,台灣大,日月光投控,遠傳,和碩,中租-KY,上海商銀,合庫金,矽力-KY,台塑化,緯穎,豐泰
2018/1/2,10710.73 ,18351.03 ,25.01,24.14,58.43,83.97,65.65,87.65,23.2,22.32,46.97,328.58,33.17,12.51,126.52,101.78,233.24,209.03,231.78,98.72,52.28,179.79,65.06,95.18,268.48,287.89,21.62,13.89,13.34,44.55,47.3,8.68,14.2,11.69,20.49,11.44,8.16,17.64,16.28,250.16,4031.08,93.83,,63.52,59.58,72.29,,13.54,674.64,101.35,,95.44
2018/1/3,10801.57 ,18506.67 ,25.56,24.31,58.69,84.31,66.68,87.65,23.03,22.5,47.24,330.41,32.68,12.64,124.73,100.71,256.31,213.07,230.95,99.17,52.87,181.04,66.98,95.62,276.77,290.94,21.67,13.94,13.38,44.99,48.17,8.68,14.53,11.82,20.74,11.52,8.2,17.81,16.28,247.55,3926.87,94.27,,64.38,59.99,72.54,,13.62,674.64,103.55,,95.44
2018/1/4,10848.63 ,18587.30 ,25.45,24.48,58.69,84.31,66.51,88.5,22.81,22.41,46.88,323.55,32.47,12.59,124.73,99.21,262.57,215.32,225.95,100.08,53.13,178.53,67.98,95.62,282.75,292.25,21.67,13.98,13.42,45.34,48.35,8.68,14.5,11.73,20.82,11.48,8.18,17.81,16.32,248.42,3917.4,94.27,,64.73,59.41,74.27,,13.66,670.71,104.87,,95.79
2018/1/5,10879.80 ,18640.70 ,25.52,25.12,58.52,84.23,66.51,88.07,23.07,22.54,46.79,322.63,32.59,12.77,126.08,99.64,266.19,215.77,226.78,101.89,52.2,180.62,69.65,96.06,276.31,292.25,21.62,14.1,13.58,45.6,48.61,8.77,14.53,11.82,21.08,11.61,8.24,18.03,16.41,246.25,3884.24,94.27,,65.07,59.5,77.24,,13.74,662.85,105.75,,95.79
2018/1/8,10915.75 ,18702.30 ,26.14,25.94,59.04,85.17,67.78,89.34,22.94,22.82,46.88,327.67,32.59,12.9,126.08,98.35,263.55,217.57,228.45,101.89,52.87,188.99,69.65,96.06,274.47,285.27,21.58,14.27,13.7,45.86,48.61,8.9,14.72,11.9,21.29,11.77,8.41,18.54,16.53,249.73,3723.18,95.57,,65.76,59.5,77.16,,14.07,667.76,107.52,,96.14
2018/1/9,10914.89 ,18700.83 ,26.21,26.02,58.78,87.74,69.66,93.16,23.16,22.82,46.51,325.84,32.19,12.94,125.63,98.35,259.6,217.57,218.86,101.89,51.95,188.15,68.9,96.51,279.99,287.45,21.67,14.27,13.7,45.86,48.7,8.94,14.72,11.82,21.16,11.85,8.38,18.46,16.53,249.29,3547.92,96.44,,65.94,59.66,77.74,,14.11,685.44,106.19,,96.84
2018/1/10,10831.09 ,18557.24 ,26.31,26.11,58.78,86.45,70.51,91.46,23.38,22.86,46.79,324.92,32.59,12.46,124.28,97.28,250.05,212.62,220.11,102.34,52.28,188.57,65.31,96.06,285.06,278.29,21.76,14.31,13.7,46.3,48.52,9.15,14.72,11.82,21.46,11.89,8.38,18.72,16.53,246.25,3576.34,95.57,,65.94,59.91,76.58,,14.11,691.33,105.75,,97.54
2018/1/11,10810.06 ,18521.21 ,25.66,25.17,59.04,86.45,69.92,92.31,23.16,22.86,46.61,321.72,31.7,12.29,122.49,97.92,254.66,211.27,221.36,103.25,52.45,188.57,66.98,96.06,281.83,283.09,21.67,14.31,13.66,46.3,48.35,8.98,14.68,11.86,21.5,11.89,8.27,18.72,16.53,247.12,3533.71,96.44,,65.16,59.91,78.81,,13.99,661.87,105.31,,97.54
2018/1/12,10883.96 ,18647.82 ,25.73,25.68,59.22,86.88,69.15,91.89,23.29,22.91,46.88,322.17,32.76,12.46,122.49,98.35,247.08,213.07,221.78,104.15,52.54,188.57,67.9,96.06,285.06,290.07,21.72,14.31,13.7,46.47,48.52,9.03,14.65,11.99,21.46,11.89,8.37,18.76,16.53,247.55,3884.24,96.44,,65.16,62.06,78.4,,14.07,662.85,105.75,,98.24
2018/1/15,10956.31 ,18771.78 ,25.9,26.02,59.74,87.31,69.92,92.31,23.64,22.68,46.88,323.09,32.84,12.55,122.93,99.96,233.24,215.77,223.44,104.15,53.04,195.26,69.56,96.51,288.28,290.94,21.76,14.44,13.74,47.26,49.31,9.2,14.65,12.07,21.97,11.89,8.41,19.1,16.66,248.86,3817.92,97.31,,64.9,62.06,78.89,,14.11,620.63,105.75,,98.24
2018/1/16,10986.11 ,18822.84 ,26.07,26.07,59.39,87.31,69.49,91.89,23.38,22.77,47.06,329.5,32.96,12.55,125.63,100.07,237.53,216.22,225.95,107.32,53.55,196.51,70.9,96.51,287.36,294.86,21.76,14.52,13.78,47.87,49.39,9.24,14.61,12.03,21.88,11.93,8.49,18.97,16.66,247.99,3789.5,96.44,,64.73,62.39,77.41,,14.11,602.95,105.75,,97.19
2018/1/17,11004.80 ,18854.87 ,26.34,26.45,58.78,87.31,69.49,91.46,23.29,22.72,47.79,334.99,32.96,12.55,124.73,100.07,233.9,217.57,230.11,107.78,53.8,196.51,67.56,96.51,282.29,289.19,21.94,14.57,13.86,47.35,49.13,9.28,14.65,12.11,21.88,11.97,8.53,18.97,16.7,250.6,3770.55,96.44,,64.81,63.71,79.8,,14.11,587.24,105.75,,96.14
2018/1/18,11071.57 ,18969.26 ,25.9,26.32,59.3,86.88,69.23,92.31,23.38,22.72,47.6,336.82,33.82,12.55,128.32,100.49,238.52,223.41,233.03,108.23,54.56,199.44,68.4,95.18,294.27,289.63,21.9,14.44,13.86,47,48.78,9.37,14.68,12.07,21.84,12.06,8.53,18.89,16.7,253.21,3775.29,95.13,,64.73,63.38,79.88,,14.15,589.2,106.19,,96.84
2018/1/19,11150.85 ,19105.09 ,25.93,26.11,60.17,86.03,69.15,91.04,23.29,22.68,47.42,338.19,33.7,12.46,129.66,103.82,256.31,229.71,233.87,107.32,54.9,198.18,67.23,96.51,293.81,292.68,21.81,14.52,13.82,47.08,48.87,9.37,14.72,12.11,21.63,12.1,8.58,18.72,16.7,250.16,3789.5,95.13,,64.73,63.87,78.89,,14.15,589.2,106.63,,95.79
2018/1/22,11231.46 ,19243.21 ,25.9,25.89,60.78,86.88,68.89,92.31,23.12,22.63,47.15,336.82,33.66,12.29,133.7,103.49,273.44,235.1,235.95,109.59,54.9,198.18,67.15,96.06,293.81,293.12,21.76,14.4,13.78,47.26,48.52,9.33,14.72,12.07,21.59,12.1,8.58,18.84,16.66,249.73,3789.5,95.13,,64.9,63.96,78.48,,14.11,613.75,106.19,,98.94
2018/1/23,11253.11 ,19280.30 ,25.52,25.85,60.09,85.6,68.98,92.31,23.29,22.59,46.97,340.48,33.98,12.81,132.36,103.82,260.26,239.14,234.7,109.59,54.23,198.18,66.9,96.51,292.89,290.07,21.81,14.44,13.78,47.17,48.87,9.2,14.68,12.15,21.5,12.06,8.49,18.37,16.66,251.03,3756.34,95.13,,64.99,64.45,78.73,,14.11,618.66,107.96,,99.29
2018/1/24,11152.16 ,19107.34 ,25.52,25.68,59.48,84.91,68.47,91.04,22.99,22.59,46.88,335.45,34.23,12.64,132.81,102.74,261.58,231.95,233.87,110.49,54.23,196.51,67.15,96.06,283.21,288.76,21.81,14.36,13.66,46.12,48.61,9.24,14.61,11.99,21.42,12.02,8.45,18.15,16.66,249.73,3590.55,95.57,,64.73,64.12,80.21,,14.03,619.65,107.07,,99.64
2018/1/25,11165.95 ,19130.97 ,25.73,25.85,59.74,86.88,69.75,92.31,22.86,22.68,47.15,355.12,35.21,12.72,132.36,102.21,260.59,231.95,234.28,111.4,54.82,196.93,65.48,96.06,281.37,283.09,21.81,14.52,13.78,46.65,48.52,9.28,14.65,12.03,21.67,12.1,8.49,18.37,16.74,253.21,3590.55,95.57,,65.33,65.28,82.94,,14.15,617.68,108.4,,103.48
2018/1/26,11147.10 ,19098.67 ,26.14,25.94,58.69,88.59,69.57,94,22.99,22.68,46.79,352.38,35.04,12.81,132.36,102.21,245.76,229.26,234.28,114.11,54.39,197.35,66.23,96.06,283.68,284.83,21.85,14.44,13.74,46.47,47.74,9.24,14.61,12.03,21.67,12.06,8.49,18.24,16.7,251.03,3675.82,96,,65.59,64.78,81.86,,14.11,598.04,109.28,,102.44
2018/1/29,11221.81 ,19226.67 ,25.97,25.81,60.17,89.45,69.92,96.97,22.9,22.72,46.88,351.92,35.13,12.77,131.46,101.46,252.02,232.4,235.12,112.76,54.48,193.17,65.73,96.95,283.68,288.76,21.81,14.52,13.78,47.17,48.17,9.24,14.65,12.03,21.76,12.06,8.49,18.28,16.82,253.64,3822.66,96.87,,65.33,64.87,80.54,,14.07,598.04,111.48,,99.64
2018/1/30,11076.78 ,18978.19 ,25.93,25.47,60.35,88.17,69.06,92.73,22.6,22.5,46.42,341.4,34.72,12.68,131.01,100.28,245.76,227.46,235.12,110.04,53.8,190.66,65.39,95.62,275.39,282.22,21.62,14.31,13.7,46.39,47.47,9.2,14.5,11.9,21.5,11.93,8.4,18.2,16.7,248.86,3841.61,96.44,,65.59,66.02,80.71,,13.95,608.84,109.28,,97.19
2018/1/31,11103.79 ,19024.46 ,25.76,25.72,60.87,88.59,68.3,92.31,22.56,22.5,46.15,347.34,34.96,12.51,131.91,98.78,254.99,229.26,234.28,105.51,53.63,190.66,66.23,96.06,275.39,291.38,21.81,14.36,13.78,47.35,47.65,9.2,14.42,11.86,21.42,12.02,8.45,18.37,16.78,251.03,3794.24,96.87,,65.59,65.28,80.96,,14.11,610.81,109.28,,96.49
2018/2/1,11160.25 ,19121.21 ,25.93,25.68,61.13,88.17,68.3,93.58,22.6,22.45,46.33,340.94,34.19,12.64,131.91,100.17,254.33,233.3,235.95,105.06,54.06,189.4,67.73,96.51,282.75,290.94,21.72,14.36,13.78,47.17,47.82,9.15,14.5,11.82,21.5,12.02,8.41,18.37,16.78,253.64,3865.29,96.87,,65.94,63.63,81.2,,14.03,612.77,109.72,,95.44
2018/2/2,11126.23 ,19062.91 ,25.93,25.25,60,85.6,68.04,90.61,22.81,22.41,46.61,338.65,34.27,12.77,131.91,101.99,263.55,233.3,235.53,105.06,54.06,188.57,66.39,96.51,280.45,308.39,21.53,14.48,13.78,46.65,47.74,9.15,14.5,11.77,21.42,11.93,8.45,18.37,16.78,253.21,3770.55,94.7,,65.51,64.12,79.39,,14.07,604.92,106.19,,94.4
2018/2/5,10946.25 ,18754.55 ,25.86,24.91,59.39,86.03,67.19,91.04,22.51,22.14,46.24,341.4,33.66,12.64,130.11,99.42,253.67,227.46,230.53,103.25,53.13,188.99,64.56,95.62,275.39,302.28,21.3,14.27,13.54,45.51,47.21,9.03,14.35,11.52,21.16,11.69,8.29,17.98,16.74,251.03,3600.03,94.7,,64.64,63.63,77.33,,13.87,608.84,105.31,,94.4
2018/2/6,10404.00 ,17825.49 ,24.29,23.28,57.13,82.77,64.89,87.23,21.04,21.32,44.88,312.11,32.1,12.24,124.28,95.57,233.24,214.87,225.11,97.81,50.68,178.12,60.39,94.29,263.87,294.43,20.44,13.77,13.15,42.98,44.33,8.5,13.9,10.93,20.32,10.99,8.01,16.99,16.24,240.59,3240.02,92.09,,64.21,59.08,74.44,,13.42,580.37,99.58,,87.4
2018/2/7,10551.54 ,18078.29 ,24.91,23.45,58.09,86.45,66.25,91.04,21.17,21.32,44.61,308.9,32.35,12.46,122.93,96.42,235.55,215.77,223.03,101.44,50.17,177.7,61.39,95.18,262.03,299.23,20.44,13.98,13.38,43.85,45.99,8.68,14.01,11.05,20.4,11.03,8.2,17.55,16.37,243.63,3462.66,93.83,,65.16,60.82,74.77,,13.5,585.28,102.23,,89.85
2018/2/8,10528.52 ,18038.84 ,25.15,23.71,57.91,85.6,66.25,91.89,21.21,21.46,44.52,311.65,31.33,12.42,122.93,95.35,229.29,214.42,228.45,102.34,50.26,183.13,60.64,95.62,263.41,293.99,20.39,13.98,13.3,44.2,46.51,8.68,14.2,11.14,20.4,11.16,8.16,17.77,16.41,240.15,3528.97,92.96,,64.04,59.5,76.75,,13.42,590.19,101.79,,90.2
2018/2/9,10371.75 ,17770.24 ,24.36,23.2,57.39,83.71,64.8,89.34,21.08,21.46,43.06,303.87,30.76,12.33,120.69,93.75,218.42,209.03,226.36,98.72,50,175.19,61.14,95.18,260.65,290.94,19.98,13.81,13.19,43.85,46.08,8.6,14.05,10.97,20.27,11.12,8.07,17.55,16.2,237.54,3386.87,92.96,,63.26,60.65,74.35,,13.34,580.37,102.23,,87.75
2018/2/12,10421.09 ,17854.78 ,24.6,23.33,56.96,86.45,64.97,89.34,21.13,21.37,44.47,298.38,30.59,12.15,121.14,93.85,205.57,212.62,225.11,100.53,49.41,173.1,63.39,94.29,262.49,283.09,19.98,13.81,13.27,44.55,46.25,8.9,14.12,11.05,20.44,11.2,8.16,17.77,16.2,237.98,3486.34,93.4,,63.43,59.74,74.52,,13.42,585.28,98.26,,89.5
2018/2/21,10714.44 ,18357.38 ,25.45,24.27,60.17,89.02,67.36,92.73,21.99,22.14,45.42,308.45,32.35,12.37,123.38,94.49,214.8,218.02,225.95,104.15,50.26,177.7,66.65,96.51,280.45,298.79,20.71,14.02,13.42,45.34,47.13,9.03,14.5,11.18,20.91,11.44,8.41,18.2,16.45,244.07,3742.13,93.83,,64.3,62.8,78.23,,13.54,636.34,101.79,,93.35
2018/2/22,10662.38 ,18268.19 ,24.97,24.18,58.09,87.74,66.93,90.19,21.86,21.96,45.06,301.12,32.14,12.24,123.38,94.17,215.46,215.32,226.78,101.89,50.43,180.21,66.14,96.06,278.15,304.46,20.76,14.02,13.42,45.25,47.3,9.03,14.5,11.14,20.95,11.36,8.49,18.28,16.53,245.38,3642.66,92.96,,63.26,60.9,80.63,,13.66,628.48,99.58,,93
2018/2/23,10794.55 ,18494.63 ,25.21,24.31,58.09,89.02,67.44,92.31,22.17,22.14,45.79,307.53,34.88,12.42,123.83,95.24,214.14,220.27,228.86,101.89,50.34,181.04,66.65,96.95,276.77,305.33,20.8,14.19,13.5,45.69,47.74,9.15,14.5,11.22,21.16,11.61,8.53,18.33,16.57,249.73,3742.13,93.4,,63.69,62.47,79.88,,13.87,630.45,101.79,,94.05
2018/2/26,10836.70 ,18566.86 ,25.01,24.27,59.48,88.59,68.47,92.31,22.47,21.87,45.88,301.12,35.13,12.37,125.18,95.14,214.14,221.61,226.78,104.61,50.43,179.79,67.56,97.39,273.08,312.75,20.71,14.23,13.58,45.6,47.39,9.07,14.65,11.22,21.16,11.52,8.58,18.46,16.74,264.08,3581.08,93.4,,63.61,61.89,80.21,,13.87,627.5,103.99,,95.09
2018/2/27,10815.47 ,18530.49 ,25.32,24.31,60,88.59,68.72,91.89,22.47,21.78,45.61,297.92,34.31,12.42,124.73,94.39,217.76,221.16,230.95,105.06,50.34,181.88,67.4,96.95,277.23,308.82,20.71,14.1,13.62,45.6,47.56,9.03,14.53,11.14,21.12,11.61,8.49,18.41,16.66,256.25,3500.55,93.4,,63.87,61.97,81.04,,13.83,638.3,103.11,,97.19
2018/3/1,10785.79 ,18479.63 ,25.32,24.14,60.26,87.31,67.44,89.77,22.3,22.05,45.42,300.21,34.88,12.29,125.18,94.17,227.97,218.47,227.61,104.61,49.66,180.21,65.64,96.06,275.85,305.33,20.71,14.02,13.54,45.6,47.04,9.03,14.57,11.14,21.25,11.57,8.45,18.54,16.62,256.25,3694.76,92.53,,63.35,61.97,81.86,,13.74,633.39,100.91,,94.4
2018/3/2,10698.17 ,18329.51 ,25.25,23.88,59.74,86.03,66.76,88.92,22.08,21.64,45.2,297.92,35.13,12.29,123.83,94.07,240.82,215.77,226.36,102.79,50.09,178.53,65.39,95.62,278.61,304.46,20.62,14.02,13.46,44.38,46.51,8.94,14.53,10.97,21.12,11.44,8.45,18.67,16.49,252.77,3666.34,92.96,,63,61.31,79.72,,13.7,617.68,99.14,,92.65
2018/3/5,10642.90 ,18234.80 ,24.84,23.88,58.96,86.45,66.59,88.92,22.08,21.32,44.61,296.09,35.13,12.2,124.28,93.21,248.4,217.12,225.11,101.89,50.09,176.44,65.39,95.62,271.7,304.9,20.3,13.89,13.42,43.77,45.9,8.85,14.42,11.01,20.95,11.4,8.38,18.54,16.49,250.6,3505.29,92.53,,63.26,61.15,80.3,,13.58,603.93,98.26,,93.35
2018/3/6,10784.34 ,18477.15 ,24.97,23.88,58.69,86.88,67.61,89.77,22.25,21.41,44.7,299.75,35.37,12.42,125.63,94.49,252.68,224.76,223.86,102.79,50.26,177.7,66.39,96.95,277.23,317.98,20.34,13.98,13.54,43.94,46.08,8.94,14.53,11.05,21.04,11.44,8.45,18.72,16.62,250.16,3462.66,93.4,,63.87,61.07,79.55,,13.7,603.93,100.47,,92.3
2018/3/7,10745.32 ,18410.30 ,24.91,23.58,60,86.88,67.7,89.34,22.25,21.23,44.56,292.89,34.8,12.33,122.93,94.82,259.27,222.06,226.78,102.34,49.58,180.62,66.73,96.95,276.31,314.93,20.44,13.98,13.54,43.94,45.82,8.94,14.57,11.05,20.74,11.4,8.49,18.46,16.53,250.6,3495.81,92.96,,64.3,61.15,78.98,,13.66,600.99,99.58,,93.35
2018/3/8,10823.24 ,18543.80 ,24.91,23.5,59.56,86.88,67.36,89.34,22.3,21.23,44.7,286.94,34.88,13.56,122.93,95.78,263.88,224.31,227.61,102.34,49.75,179.79,68.4,96.95,285.06,314.06,20.53,13.98,13.58,44.03,45.73,8.94,14.53,11.1,21.12,11.4,8.45,18.63,16.57,249.73,3519.5,92.96,,65.07,61.31,79.14,,13.74,599.02,100.91,,94.4
2018/3/9,10864.82 ,18615.03 ,25.08,24.1,59.3,86.88,67.61,89.34,22.21,21.32,44.74,286.94,34.8,13.25,121.59,98.46,267.18,225.21,224.7,103.25,50.09,181.88,69.48,96.95,285.98,316.24,20.53,14.02,13.66,44.11,45.38,8.98,14.57,11.14,21.12,11.36,8.45,18.67,16.66,253.21,3656.87,92.53,,63.69,61.97,80.13,,13.83,616.7,100.02,,94.4
