,symbol,performance
91,TRXUSDT-ENJUSDT,-33.634505940364015
92,ETCUSDT-BNBUSDT,-23.5690009180902
93,ETCUSDT-QTUMUSDT,100.92385487546913
94,ETCUSDT-ADAUSDT,-38.66790949056112
95,ETCUSDT-XRPUSDT,-32.404673248602776
96,ETCUSDT-TRXUSDT,-11.438069283913155
97,ETCUSDT-VETUSDT,14.059511383675805
98,ETCUSDT-TFUELUSDT,87.03957978840916
99,ETCUSDT-HOTUSDT,-0.011984781170060188
100,ETCUSDT-FETUSDT,-7.502452183591213
101,ETCUSDT-IOSTUSDT,-6.52891216646344
102,ETCUSDT-THETAUSDT,92.7625513403076
103,ICXUSDT-IOTAUSDT,-21.414866832549507
104,ICXUSDT-XLMUSDT,6.756811746145885
105,ICXUSDT-VETUSDT,-32.492380564014844
106,ICXUSDT-LINKUSDT,-40.048406833765924
107,ICXUSDT-ZECUSDT,-57.09366036765452
108,ICXUSDT-IOSTUSDT,-47.37810868645549
109,ICXUSDT-DASHUSDT,-38.4610094403294
110,ICXUSDT-MITHUSDT,-48.05458837531893
111,NULSUSDT-NEOUSDT,7.756238059164788
112,NULSUSDT-LTCUSDT,6.574665462004448
113,NULSUSDT-IOTAUSDT,32.269587499310525
114,NULSUSDT-ONTUSDT,-8.94955067390254
115,NULSUSDT-ICXUSDT,72.71581235713937
116,NULSUSDT-LINKUSDT,161.52530960127174
117,NULSUSDT-HOTUSDT,-38.4337643010199
118,NULSUSDT-ZILUSDT,4.273675974528834
119,NULSUSDT-ZRXUSDT,28.891672535377634
120,NULSUSDT-ZECUSDT,-47.43910781447299
121,NULSUSDT-DASHUSDT,52.15259753670401
122,VETUSDT-QTUMUSDT,13.195980643760219
123,VETUSDT-ADAUSDT,-17.422244539311503
124,VETUSDT-XRPUSDT,-26.090605123599442
125,VETUSDT-TRXUSDT,-7.681849802715068
126,VETUSDT-ETCUSDT,26.284781708360107
127,VETUSDT-ICXUSDT,-14.032244254616455
128,VETUSDT-TFUELUSDT,162.94588481190812
129,VETUSDT-WAVESUSDT,3.2486805522921713
130,VETUSDT-ONGUSDT,185.01724625043695
131,VETUSDT-HOTUSDT,-17.00474689336885
132,VETUSDT-FETUSDT,-32.5713346446169
133,VETUSDT-IOSTUSDT,-23.129132852587265
134,VETUSDT-THETAUSDT,91.21798724802845
135,TFUELUSDT-BNBUSDT,63.04927950104036
136,TFUELUSDT-NEOUSDT,119.08033690254581
137,TFUELUSDT-QTUMUSDT,34.39430137403716
138,TFUELUSDT-ADAUSDT,53.253204340251116
139,TFUELUSDT-XRPUSDT,-66.39151951927474
140,TFUELUSDT-IOTAUSDT,137.3732955521136
141,TFUELUSDT-TRXUSDT,0.11973087974408436
142,TFUELUSDT-ETCUSDT,87.59443799806637
143,TFUELUSDT-VETUSDT,30.683383499888173
144,TFUELUSDT-WAVESUSDT,-37.15279255906609
145,TFUELUSDT-ONGUSDT,-30.617724160419012
146,TFUELUSDT-HOTUSDT,42.46130666454433
147,TFUELUSDT-XMRUSDT,-12.22109514553228
148,TFUELUSDT-IOSTUSDT,-22.464205673268356
149,TFUELUSDT-MITHUSDT,-52.39474044526635
150,LINKUSDT-LTCUSDT,-6.936473066418081
151,LINKUSDT-ICXUSDT,-49.50616519842992
152,LINKUSDT-TFUELUSDT,66.52994791226648
153,LINKUSDT-ZRXUSDT,-56.937187454338364
154,WAVESUSDT-ADAUSDT,0.5204430931546433
155,WAVESUSDT-XRPUSDT,-32.06118977612519
156,WAVESUSDT-TRXUSDT,-42.412047395123764
157,WAVESUSDT-VETUSDT,-44.19678658810222
158,WAVESUSDT-TFUELUSDT,-30.620772468968347
159,WAVESUSDT-ONGUSDT,-78.33689812000497
160,WAVESUSDT-HOTUSDT,128.25726377358063
161,WAVESUSDT-FETUSDT,41.170784634790955
162,WAVESUSDT-OMGUSDT,6.6445050418791896
163,WAVESUSDT-THETAUSDT,-39.35189692890573
164,ONGUSDT-ETHUSDT,-76.75074090157354
165,ONGUSDT-BNBUSDT,-94.66456785891872
166,ONGUSDT-QTUMUSDT,28.664190236604025
167,ONGUSDT-ADAUSDT,-38.32634003156855
168,ONGUSDT-XRPUSDT,-57.040523847604874
169,ONGUSDT-IOTAUSDT,-44.91417038317786
170,ONGUSDT-TRXUSDT,-3.588908768264931
171,ONGUSDT-VETUSDT,177.75304538258672
172,ONGUSDT-TFUELUSDT,-6.506987760384608
173,ONGUSDT-WAVESUSDT,-85.71151315855401
174,ONGUSDT-HOTUSDT,-4.024227996444829
175,ONGUSDT-FETUSDT,-17.67087208984156
176,ONGUSDT-ZECUSDT,-22.194017654152564
177,ONGUSDT-IOSTUSDT,-49.453313942761945
178,ONGUSDT-CELRUSDT,0.6133918876352729
179,ONGUSDT-MITHUSDT,-25.492408095485864
180,HOTUSDT-BNBUSDT,48.454403161475845
181,HOTUSDT-NEOUSDT,47.59881382766995
182,HOTUSDT-LTCUSDT,-10.961089032401517
183,HOTUSDT-QTUMUSDT,-50.43822379047056
184,HOTUSDT-ADAUSDT,-2.8896394887589993
185,HOTUSDT-XRPUSDT,8.88777516416248
186,HOTUSDT-IOTAUSDT,-18.389727413752567
187,HOTUSDT-TRXUSDT,-5.429383652885267
188,HOTUSDT-ETCUSDT,2.1492718388601117
189,HOTUSDT-ICXUSDT,6.6839423206348725
190,HOTUSDT-VETUSDT,-43.39324270784084
191,HOTUSDT-TFUELUSDT,-33.61702586524247
192,HOTUSDT-WAVESUSDT,98.11763495830968
193,HOTUSDT-ONGUSDT,-42.67870648147396
194,HOTUSDT-FETUSDT,-10.346824278220767
195,HOTUSDT-XMRUSDT,29.182999905636244
196,HOTUSDT-ZECUSDT,15.369887031511631
197,HOTUSDT-IOSTUSDT,-37.14585718399952
198,HOTUSDT-CELRUSDT,-48.869365696611226
199,HOTUSDT-DASHUSDT,-10.268129410580219
200,HOTUSDT-MITHUSDT,-32.667783342260634
201,ZILUSDT-XLMUSDT,19.01200459129788
202,ZILUSDT-ZRXUSDT,3.496374394957691
203,ZILUSDT-DASHUSDT,-46.50189094223946
204,ZRXUSDT-LTCUSDT,25.639684841493793
205,ZRXUSDT-IOTAUSDT,9.756677316225314
206,ZRXUSDT-XLMUSDT,24.793016019423252
207,ZRXUSDT-NULSUSDT,3.2922559308116384
208,ZRXUSDT-LINKUSDT,-30.534497099386094
209,ZRXUSDT-ZILUSDT,-3.562810842624753
210,ZRXUSDT-ZECUSDT,-13.255724598501006
211,ZRXUSDT-DASHUSDT,-38.96689513608747
212,FETUSDT-ETHUSDT,14.018065172021132
213,FETUSDT-BNBUSDT,-1.2484512584602814
214,FETUSDT-QTUMUSDT,32.4830926815816
215,FETUSDT-ADAUSDT,66.26715181342571
216,FETUSDT-XRPUSDT,-18.561417854968532
217,FETUSDT-TRXUSDT,-34.52459630956609
218,FETUSDT-WAVESUSDT,11.520550648751415
219,FETUSDT-ONGUSDT,-18.748134850952248
220,FETUSDT-HOTUSDT,-15.020970375887643
221,FETUSDT-IOSTUSDT,-49.37105954936128
222,FETUSDT-CELRUSDT,-63.54013364020492
223,FETUSDT-OMGUSDT,-21.57706796245753
224,FETUSDT-ATOMUSDT,28.817709741823027
225,BATUSDT-ENJUSDT,-15.380398307437693
226,BATUSDT-ATOMUSDT,44.49434721694927
227,XMRUSDT-XLMUSDT,5.639416375124107
228,XMRUSDT-TFUELUSDT,-24.251104229920717
229,XMRUSDT-ONGUSDT,-5.941021490632181
230,XMRUSDT-HOTUSDT,86.10665630057125
231,XMRUSDT-THETAUSDT,-40.09987662964723
232,ZECUSDT-BTCUSDT,18.685761868374318
233,ZECUSDT-IOTAUSDT,-43.40201340253332
234,ZECUSDT-TRXUSDT,-41.68843281369996
235,ZECUSDT-ICXUSDT,-50.94751935782752
236,ZECUSDT-NULSUSDT,24.928543356494437
237,ZECUSDT-VETUSDT,-23.190620906586812
238,ZECUSDT-TFUELUSDT,58.03220090870678
239,ZECUSDT-LINKUSDT,-33.50339097096339
240,ZECUSDT-ONGUSDT,-31.668131624716946
241,ZECUSDT-HOTUSDT,17.868756865037728
242,ZECUSDT-ZRXUSDT,-19.308919247513433
243,ZECUSDT-FETUSDT,16.599995381586407
244,ZECUSDT-XMRUSDT,-11.013474227811992
245,ZECUSDT-THETAUSDT,7.607338544890818
246,ZECUSDT-ENJUSDT,-42.27787859755483
247,ZECUSDT-MITHUSDT,-59.18172199545148
248,IOSTUSDT-QTUMUSDT,45.13440255636081
249,IOSTUSDT-XRPUSDT,-29.167041247627612
250,IOSTUSDT-TRXUSDT,-29.687642248756063
251,IOSTUSDT-ICXUSDT,-27.51618281733419
252,IOSTUSDT-VETUSDT,9.82950713774251
253,IOSTUSDT-TFUELUSDT,-38.49504466886393
254,IOSTUSDT-ONGUSDT,-28.03336813407182
255,IOSTUSDT-HOTUSDT,-8.460163572658052
256,IOSTUSDT-THETAUSDT,9.730052649571608
257,CELRUSDT-ETHUSDT,50.0120396764669
258,CELRUSDT-BNBUSDT,31.75301844077505
259,CELRUSDT-ADAUSDT,-27.60926729438069
260,CELRUSDT-ONEUSDT,-13.553592433025363
261,CELRUSDT-ONGUSDT,-52.14770563909672
262,CELRUSDT-FETUSDT,-76.55772426490547
263,CELRUSDT-MATICUSDT,108.37546363251347
264,DASHUSDT-NEOUSDT,-3.7651656196721284
265,DASHUSDT-LTCUSDT,1.4903537481942175
266,DASHUSDT-EOSUSDT,-46.861744215504
267,DASHUSDT-XLMUSDT,-33.6882472338889
268,DASHUSDT-ICXUSDT,-19.83568068595407
269,DASHUSDT-TFUELUSDT,54.40109729929566
270,DASHUSDT-LINKUSDT,-38.79062309276864
271,DASHUSDT-HOTUSDT,20.165815534527386
272,DASHUSDT-ZILUSDT,-38.67773650305617
273,DASHUSDT-ZRXUSDT,-37.09090116041152
274,DASHUSDT-IOSTUSDT,-26.44146660183775
275,DASHUSDT-THETAUSDT,11.936661006444037
276,DASHUSDT-MITHUSDT,-60.87995250868131
277,OMGUSDT-ADAUSDT,-29.578549175954116
278,OMGUSDT-ONEUSDT,-46.06622547961674
279,OMGUSDT-WAVESUSDT,-1.8302281841800272
280,OMGUSDT-ONGUSDT,-44.7776842637075
281,OMGUSDT-FETUSDT,74.81341501984109
282,OMGUSDT-ATOMUSDT,10.930967625165522
283,THETAUSDT-NEOUSDT,15.945449955259505
284,THETAUSDT-LTCUSDT,2.1163415327163815
285,THETAUSDT-IOTAUSDT,109.03656350319721
286,THETAUSDT-XLMUSDT,-30.184601197078177
287,THETAUSDT-TRXUSDT,11.98143395754383
288,THETAUSDT-ETCUSDT,111.10434740795742
289,THETAUSDT-VETUSDT,50.25157717379398
290,THETAUSDT-WAVESUSDT,-32.740289478215836
291,THETAUSDT-XMRUSDT,-32.80700895363442
292,THETAUSDT-ZECUSDT,-26.381002897392868
293,THETAUSDT-IOSTUSDT,0.2725439617965453
294,THETAUSDT-DASHUSDT,-30.209687490404523
295,THETAUSDT-MITHUSDT,-14.581464644034304
296,ENJUSDT-BNBUSDT,-7.016491669479263
297,ENJUSDT-TRXUSDT,-52.44999513677434
298,ENJUSDT-BATUSDT,-31.515578339591734
299,ENJUSDT-ATOMUSDT,53.06276079455361
300,MITHUSDT-NEOUSDT,-54.59173470203059
301,MITHUSDT-LTCUSDT,6.048556225012414
302,MITHUSDT-QTUMUSDT,-58.28327903800533
303,MITHUSDT-IOTAUSDT,-44.262256040298496
304,MITHUSDT-ICXUSDT,-39.44635059088326
305,MITHUSDT-VETUSDT,-68.63120616410944
306,MITHUSDT-TFUELUSDT,2.2235816940387343
307,MITHUSDT-ONGUSDT,-43.77184057602527
308,MITHUSDT-HOTUSDT,-35.26628373064128
309,MITHUSDT-BATUSDT,-49.37295585915251
310,MITHUSDT-ZECUSDT,-44.737422381981375
311,MITHUSDT-DASHUSDT,-64.93989852303149
312,MITHUSDT-THETAUSDT,-7.6106487281999975
313,MATICUSDT-BNBUSDT,50.64926018276683
314,MATICUSDT-ONEUSDT,-61.57960899257374
315,MATICUSDT-CELRUSDT,238.11573701901213
316,ATOMUSDT-ETHUSDT,-5.392933970944924
317,ATOMUSDT-ONEUSDT,-18.246677694955583
318,ATOMUSDT-FETUSDT,30.207063927873378
319,ATOMUSDT-BATUSDT,43.240297776723224
320,ATOMUSDT-CELRUSDT,-38.761910516816364
321,ATOMUSDT-ENJUSDT,11.004943902112728
